scope,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count,latest_streak,latest_below_ma,latest_triggered
microcap_v1_0_costed_direct_883418_volume_only_half,20,8,2023-07-05,2026-04-30,681,21.020502620467663,14.904368846683056,1.4110963298724402,-10.695748107829717,1.9653139180680417,71.26203936008359,-3.2778098602371557,-0.12078847671965742,1.505864333320039,89,13.069016152716593,89,13.069016152716593,28,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,21,8,2023-07-05,2026-04-30,681,20.636984932369895,14.942575202842189,1.3856908037652262,-10.695748107829706,1.9294568948629984,69.73594488630272,-3.661327548334924,-0.14619400282687134,1.5058643333200497,88,12.922173274596183,88,12.922173274596183,26,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,22,8,2023-07-05,2026-04-30,681,21.065669535656294,14.975715786660373,1.4076880761644093,-10.695748107829706,1.9695368031559568,71.442348223742,-3.232642945048525,-0.1241967304276883,1.5058643333200497,84,12.334801762114537,84,12.334801762114537,26,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,23,8,2023-07-05,2026-04-30,681,21.108619185627898,14.975447119842611,1.4101843358128199,-10.695748107829706,1.9735523848187453,71.61391923950174,-3.1896932950769212,-0.1217004707792777,1.5058643333200497,82,12.041116005873716,82,12.041116005873716,24,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,24,8,2023-07-05,2026-04-30,681,22.066656239170477,15.074708906773592,1.4564603878814588,-10.695748107829727,2.063124151457604,75.469844140242,-2.231656241534342,-0.07542441871063876,1.5058643333200283,80,11.747430249632892,80,11.747430249632892,24,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,25,8,2023-07-05,2026-04-30,681,21.981614694601138,15.074054619945887,1.4516883459705778,-10.695748107829706,2.055173184053366,75.12532907725955,-2.3166977861036813,-0.08019646062151975,1.5058643333200497,81,11.894273127753303,81,11.894273127753303,24,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,26,8,2023-07-05,2026-04-30,681,21.253462222305043,14.935633347130494,1.4219016948526817,-10.666683236919583,1.9925089880556723,72.1933407736141,-3.0448502583997765,-0.10998311173941588,1.5349292042301723,84,12.334801762114537,84,12.334801762114537,26,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,27,8,2023-07-05,2026-04-30,681,20.966678770124368,14.930741708488867,1.4057555492939877,-10.666683236919594,1.9656230811799456,71.04733140301063,-3.3316337105804514,-0.12612925729810986,1.5349292042301617,86,12.62848751835536,86,12.62848751835536,26,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,28,8,2023-07-05,2026-04-30,681,21.502597936431634,14.75841681534943,1.4516874949821148,-10.666683236919594,2.0158654249717194,73.19291927149627,-2.795714544273185,-0.08019731160998278,1.5349292042301617,93,13.656387665198238,93,13.656387665198238,28,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,29,8,2023-07-05,2026-04-30,681,21.84540480354331,14.660132083179994,1.4805052978561493,-10.536008357498773,2.073404278195672,74.57443406568342,-2.452907677161509,-0.05137950873594832,1.6656040836509831,107,15.712187958883995,107,15.712187958883995,26,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,30,8,2023-07-05,2026-04-30,681,21.99663519900259,14.596922322270586,1.4951504145033718,-10.536008357498805,2.087757948990891,75.18614744593289,-2.3016772817022293,-0.036734392088725754,1.6656040836509511,111,16.299559471365637,111,16.299559471365637,26,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,31,8,2023-07-05,2026-04-30,681,21.490647138777994,14.545096284762613,1.4701207022309153,-10.536008357498773,2.039733304072647,73.1448851790687,-2.8076653419268247,-0.06176410436118229,1.6656040836509831,112,16.44640234948605,112,16.44640234948605,26,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,32,8,2023-07-05,2026-04-30,681,21.2181733342659,14.574667607892986,1.451350003832086,-10.536008357498783,2.0138721054795203,72.05205704311678,-3.0801391464389205,-0.08053480276001168,1.6656040836509725,124,18.208516886930983,124,18.208516886930983,26,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,33,8,2023-07-05,2026-04-30,681,20.475742625642578,14.522612277563118,1.4118569626694069,-10.536008357498773,1.9434060728576983,69.09695939849792,-3.822569855062241,-0.12002784392269072,1.6656040836509831,127,18.64904552129222,127,18.64904552129222,30,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,34,8,2023-07-05,2026-04-30,681,20.475742625642578,14.522612277563118,1.4118569626694069,-10.536008357498773,1.9434060728576983,69.09695939849792,-3.822569855062241,-0.12002784392269072,1.6656040836509831,127,18.64904552129222,127,18.64904552129222,30,0,False,False
