window,start,end,observations,years,ulcer_index_pct,max_drawdown_pct,longest_underwater_days,longest_underwater_obs,terminal_drawdown_pct,total_return_pct
5Y,2021-04-27,2026-04-27,1300,4.999315537303217,1.7455955833645806,-6.302552696157937,126,91,-1.6178076709749356,252.40848846218267
10Y,2016-04-27,2026-04-27,2596,9.998631074606434,1.888301998712495,-8.473735002288263,155,111,-1.3259141444044387,1218.4719792524259
15Y,2011-04-27,2026-04-27,3896,15.000684462696784,1.8568388595353733,-8.574942623088798,190,137,-2.0277100795256797,4607.067886972771
MAX_COMMON,2010-11-22,2026-04-27,4008,15.427789185489392,1.8370050458196037,-8.62534483566203,186,135,-1.9328578434597898,4908.739085888096
