window,old_ulcer_index_pct,new_ulcer_index_pct,ulcer_change_pct_point,old_max_drawdown_pct,new_max_drawdown_pct,max_dd_change_pct_point,old_longest_underwater_days,new_longest_underwater_days
5Y,2.6775139426618253,1.7455955833645806,-0.9319183592972446,-10.16741224877321,-6.302552696157937,3.8648595526152736,113,126
10Y,2.6789506199560784,1.888301998712495,-0.7906486212435835,-10.766183846079747,-8.473735002288263,2.292448843791483,151,155
15Y,3.1806984059230556,1.8568388595353733,-1.3238595463876823,-10.904202747031789,-8.574942623088798,2.3292601239429906,368,190
MAX_COMMON,3.0443690797971543,1.8370050458196037,-1.2073640339775507,-10.698417482660105,-8.62534483566203,2.0730726469980745,368,186
