strategy,segment,start,end,avg_risky_weight,avg_turnover,cagr,vol,sharpe,maxdd,final_nav
baseline_60_20_20,last_5y,2021-04-23,2026-04-24,0.6328875650240435,0.15696837038845854,0.2526700211716819,0.2014891945557183,1.2259440392117305,-0.16600020322951992,3.085917539532703
baseline_60_20_20,last_10y,2016-04-25,2026-04-24,0.6391404300107751,0.16553768084324366,0.2199578972239955,0.1980490953779367,1.1065321898250131,-0.24599662300122704,7.2961512459133635
baseline_60_20_20,full_common,2010-09-29,2026-04-24,0.5891816271133691,0.15680505258585636,0.2642926495397673,0.20351677920967495,1.2594907019348993,-0.2459966230012277,38.503882593693575
baseline_60_20_20,bull_2019_2021,2019-01-02,2021-12-31,0.6918402341071463,0.16589857184694326,0.3556426224411635,0.22266195281123408,1.4803127970045644,-0.2215647711555574,2.487725772973639
baseline_60_20_20,bear_2022,2022-01-04,2022-12-30,0.6102141728621227,0.09169429771206092,0.23053160557250885,0.1884876277659719,1.1874112486232384,-0.16600020322951992,1.2268679033264227
baseline_60_20_20,rebound_2023_now,2023-01-03,2026-04-24,0.5841800430995613,0.17120263985316278,0.24879171171489478,0.2065647084270746,1.1861775255402847,-0.14407243791555424,2.083816721661026
mix_40_10__60_20__120_40,last_5y,2021-04-23,2026-04-24,0.6244824270957211,0.1817365711128028,0.1690440028637592,0.16619633501009168,1.028110719268575,-0.154786740282574,2.1842058941793803
mix_40_10__60_20__120_40,last_10y,2016-04-25,2026-04-24,0.6127631310216209,0.19074063797501345,0.10668460406227931,0.15968233635034565,0.716327842963738,-0.25794419088671083,2.754595829855395
mix_40_10__60_20__120_40,full_common,2010-08-13,2026-04-24,0.559587489068012,0.17699021261383197,0.1438674516344225,0.1606922590603925,0.9205901533724068,-0.28019903527159273,8.246521195502664
mix_40_10__60_20__120_40,bull_2019_2021,2019-01-02,2021-12-31,0.6759413891165746,0.20183897409976875,0.2051314747328674,0.1824854547191426,1.1151972015598572,-0.16833619478238326,1.748698881423416
mix_40_10__60_20__120_40,bear_2022,2022-01-04,2022-12-30,0.5769314048885493,0.15435625285368815,0.03315704306904843,0.1472052461695831,0.2932399482740458,-0.12710597859097328,1.0326727514189362
