scenario,bias_n,mom_day,window,cagr,vol,sharpe,maxdd,final_nav
baseline_60_20,60,20,last_3y,0.3296612756525281,0.19905719935823138,1.5400893584249735,-0.12784006987892382,2.351298454785955
baseline_60_20,60,20,last_5y,0.2824597949045451,0.19284772049952337,1.3949273273383858,-0.15869216109890472,3.4708884013319974
baseline_60_20,60,20,last_10y,0.23247181136325312,0.1911386628700808,1.1931286203855038,-0.23241213351948864,8.079735607195875
baseline_60_20,60,20,full_common,0.2838441300935719,0.19933650422162183,1.3590265357857456,-0.2324121335194883,48.89410489083455
mom_drift_60_15,60,15,last_3y,0.10995249044499555,0.2083030241657931,0.6071660855752382,-0.30551995999961334,1.367553039446224
mom_drift_60_15,60,15,last_5y,0.06599257640489276,0.1996420113841673,0.421391622777707,-0.3998300495580269,1.3766637963056405
mom_drift_60_15,60,15,last_10y,0.08720161832115947,0.19237571851427032,0.532119534529425,-0.4308335807377113,2.3064911066332656
mom_drift_60_15,60,15,full_common,0.12290081855636381,0.19918162475770448,0.6845957554084101,-0.43083358073770894,6.10013713130847
mom_drift_60_25,60,25,last_3y,0.16555750599440322,0.1936168727500554,0.8923741676205831,-0.20998338554209472,1.583604241698544
mom_drift_60_25,60,25,last_5y,0.16174453645123177,0.19237593996122512,0.880233550482739,-0.26790140223191894,2.1168344318088144
mom_drift_60_25,60,25,last_10y,0.1629673443630002,0.19187887207720963,0.8856628770045691,-0.27130125373073666,4.522784860940423
mom_drift_60_25,60,25,full_common,0.2210978774022414,0.20088889114610906,1.0984637747120412,-0.2713012537307353,22.24108271469979
mom_drift_60_30,60,30,last_3y,0.09279676579420881,0.1855295876565962,0.5737682652091292,-0.31461973706597823,1.3051023805221584
mom_drift_60_30,60,30,last_5y,0.05651563373906532,0.18682144483844434,0.3893822118597369,-0.4954147507657226,1.3165236524718704
mom_drift_60_30,60,30,last_10y,0.07051510984199227,0.19082367425350638,0.45395931753511076,-0.49541475076572195,1.9760889263011818
mom_drift_60_30,60,30,full_common,0.12685801168183497,0.19993835382123165,0.699687758528731,-0.4954147507657217,6.375104918388361
bias_drift_50_20,50,20,last_3y,0.24281354341331562,0.2011872949644512,1.18784770647628,-0.1590228569758413,1.9199174204364022
bias_drift_50_20,50,20,last_5y,0.2051724177310592,0.19419822997310293,1.0642421294161137,-0.18405559460261922,2.543386392618351
bias_drift_50_20,50,20,last_10y,0.17137212867032958,0.19244986714502488,0.9211607863476448,-0.3086516310262216,4.860341094104331
bias_drift_50_20,50,20,full_common,0.21965788921479512,0.20027757207267033,1.096948878234,-0.3086516310262215,22.232567316219697
bias_drift_70_20,70,20,last_3y,0.2789894237637287,0.20148808648825842,1.3294726241205588,-0.12875331828945902,2.092541144773204
bias_drift_70_20,70,20,last_5y,0.21499709201954076,0.19477214059030498,1.1034041895418403,-0.16217739747828175,2.6488042114706736
bias_drift_70_20,70,20,last_10y,0.17731141406406437,0.19405114490129344,0.9411667381766456,-0.3056572686455965,5.112371562494848
bias_drift_70_20,70,20,full_common,0.20999366591721746,0.20145008962995484,1.0502993951591764,-0.30565726864559717,19.229128414397795
joint_drift_55_18,55,18,last_3y,0.24172481819740943,0.2055435847071402,1.1624806446089309,-0.1603554179436657,1.9148750523169256
joint_drift_55_18,55,18,last_5y,0.21122443309178074,0.19282789784578253,1.0965182460151157,-0.16740626400841374,2.6079184516967353
joint_drift_55_18,55,18,last_10y,0.16522484431125872,0.19130397783953426,0.8978131142387252,-0.2704501740549361,4.611313286449859
joint_drift_55_18,55,18,full_common,0.19244015588847296,0.19766558094655914,0.9939200420959574,-0.3491233934179787,15.590150813058516
joint_drift_65_22,65,22,last_3y,0.2863522224267161,0.203135433183775,1.3488852065562986,-0.15618438309451244,2.128896540877694
joint_drift_65_22,65,22,last_5y,0.24161837025826327,0.19675534208343853,1.2053514217530075,-0.17183123371053088,2.9521175169306657
joint_drift_65_22,65,22,last_10y,0.19025431847634566,0.19290118008589838,1.0025444585514276,-0.35112852672604966,5.7027853197591805
joint_drift_65_22,65,22,full_common,0.23795470074104141,0.20125673147052972,1.165122626352971,-0.35112852672605077,27.48607974715434
joint_drift_70_25,70,25,last_3y,0.15843066333146116,0.19818950361882404,0.8450845231011118,-0.22969972975863384,1.5547259613933637
joint_drift_70_25,70,25,last_5y,0.13802245842520078,0.19512872659746885,0.7639975169496944,-0.2541030213869251,1.9092792967826941
joint_drift_70_25,70,25,last_10y,0.14067106753284442,0.1939501815027685,0.7780054501884247,-0.34867953978722976,3.727086871647401
joint_drift_70_25,70,25,full_common,0.19097860084671736,0.20081641986740528,0.9740456316805943,-0.34867953978723065,14.990288180733343
