strategy,year,return
baseline_60_20_20,2010,0.08682642036116994
baseline_60_20_20,2011,0.029377312478582995
baseline_60_20_20,2012,0.08120011626835288
baseline_60_20_20,2013,0.26033421267637036
baseline_60_20_20,2014,1.0155733599014014
baseline_60_20_20,2015,0.8676071260723699
baseline_60_20_20,2016,-0.03444576794957377
baseline_60_20_20,2017,0.2392071644271032
baseline_60_20_20,2018,-0.11831513220375112
baseline_60_20_20,2019,0.5051618315117077
baseline_60_20_20,2020,0.19319051351076655
baseline_60_20_20,2021,0.3851905398920934
baseline_60_20_20,2022,0.2268679033264227
baseline_60_20_20,2023,-0.05928802069258565
baseline_60_20_20,2024,0.3090755067551898
baseline_60_20_20,2025,0.5132407062534015
baseline_60_20_20,2026,0.11822740556819245
mix_40_10__60_20__120_40,2010,0.011329968158172443
mix_40_10__60_20__120_40,2011,-0.01707945818055645
mix_40_10__60_20__120_40,2012,-0.0797758869754498
mix_40_10__60_20__120_40,2013,0.22899470262060606
mix_40_10__60_20__120_40,2014,0.8004748277476781
mix_40_10__60_20__120_40,2015,0.598046795880141
mix_40_10__60_20__120_40,2016,-0.07443449155890214
mix_40_10__60_20__120_40,2017,0.01035307111929451
mix_40_10__60_20__120_40,2018,-0.19923208832709272
mix_40_10__60_20__120_40,2019,0.31962148503499055
mix_40_10__60_20__120_40,2020,0.1310858388652878
mix_40_10__60_20__120_40,2021,0.17157498274344118
mix_40_10__60_20__120_40,2022,0.03267275141893622
mix_40_10__60_20__120_40,2023,-0.015743090116782432
mix_40_10__60_20__120_40,2024,0.22677972327520912
mix_40_10__60_20__120_40,2025,0.4213299130478043
mix_40_10__60_20__120_40,2026,0.09851154969687825
mix_45_15__60_20__90_30,2010,0.0020473871588113646
mix_45_15__60_20__90_30,2011,-0.05633377466940637
mix_45_15__60_20__90_30,2012,0.025511926668221774
mix_45_15__60_20__90_30,2013,0.1942790892307913
mix_45_15__60_20__90_30,2014,0.7595894709568265
mix_45_15__60_20__90_30,2015,0.7016410532054613
mix_45_15__60_20__90_30,2016,-0.06656460674286624
mix_45_15__60_20__90_30,2017,0.13259879371497352
mix_45_15__60_20__90_30,2018,-0.2697549266114886
mix_45_15__60_20__90_30,2019,0.4703806026796098
mix_45_15__60_20__90_30,2020,0.2725653029090236
mix_45_15__60_20__90_30,2021,0.18918045673117834
mix_45_15__60_20__90_30,2022,0.03981118573697873
mix_45_15__60_20__90_30,2023,-0.11129407567581984
mix_45_15__60_20__90_30,2024,0.13890248758091595
mix_45_15__60_20__90_30,2025,0.4788911207369555
mix_45_15__60_20__90_30,2026,0.14627313788382645
mix_50_15__60_20__70_25,2010,0.06959387721911536
mix_50_15__60_20__70_25,2011,0.0011914802184265216
mix_50_15__60_20__70_25,2012,0.055488465308414
mix_50_15__60_20__70_25,2013,0.20477382658424093
mix_50_15__60_20__70_25,2014,0.8570272765761182
mix_50_15__60_20__70_25,2015,0.6062960075973007
mix_50_15__60_20__70_25,2016,-0.058025220268005495
mix_50_15__60_20__70_25,2017,0.17907413410184625
mix_50_15__60_20__70_25,2018,-0.21013945698288694
mix_50_15__60_20__70_25,2019,0.5133428119602164
mix_50_15__60_20__70_25,2020,0.20402464780147955
mix_50_15__60_20__70_25,2021,0.25363413274898394
mix_50_15__60_20__70_25,2022,0.0935801251897701
mix_50_15__60_20__70_25,2023,-0.09692659190926556
mix_50_15__60_20__70_25,2024,0.12523188608707736
mix_50_15__60_20__70_25,2025,0.4371766634598351
mix_50_15__60_20__70_25,2026,0.15145407636487884
mix_55_15__60_20__80_25,2010,-0.008230699597678193
mix_55_15__60_20__80_25,2011,0.014833331532486449
mix_55_15__60_20__80_25,2012,0.08906028679580902
mix_55_15__60_20__80_25,2013,0.17271376763213886
mix_55_15__60_20__80_25,2014,0.7431734616997874
mix_55_15__60_20__80_25,2015,0.6947458445543155
mix_55_15__60_20__80_25,2016,-0.08317160687770875
mix_55_15__60_20__80_25,2017,0.14073331858614102
mix_55_15__60_20__80_25,2018,-0.2028450937153662
mix_55_15__60_20__80_25,2019,0.5019646553827728
mix_55_15__60_20__80_25,2020,0.22079436647763684
mix_55_15__60_20__80_25,2021,0.20739840339772275
mix_55_15__60_20__80_25,2022,0.07819762169599853
mix_55_15__60_20__80_25,2023,-0.06705637369915907
mix_55_15__60_20__80_25,2024,0.15202832934745514
mix_55_15__60_20__80_25,2025,0.3732722243794222
mix_55_15__60_20__80_25,2026,0.12825528631931826
mix_60_20__90_30__120_40,2010,0.007661183660369941
mix_60_20__90_30__120_40,2011,-0.12935980988881113
mix_60_20__90_30__120_40,2012,-0.051490862055105
mix_60_20__90_30__120_40,2013,0.2580496301117914
mix_60_20__90_30__120_40,2014,0.9016216621437514
mix_60_20__90_30__120_40,2015,0.6681860384313305
mix_60_20__90_30__120_40,2016,-0.052757797780755844
mix_60_20__90_30__120_40,2017,0.09128091078733291
mix_60_20__90_30__120_40,2018,-0.2585761737989354
mix_60_20__90_30__120_40,2019,0.296387958182462
mix_60_20__90_30__120_40,2020,0.21037452693317404
mix_60_20__90_30__120_40,2021,0.27644242193446167
mix_60_20__90_30__120_40,2022,0.017778507931534238
mix_60_20__90_30__120_40,2023,-0.14325861794177752
mix_60_20__90_30__120_40,2024,0.13179614263493167
mix_60_20__90_30__120_40,2025,0.5258561414795528
mix_60_20__90_30__120_40,2026,0.07364698584834573
