bias_n,mom_day,window,cagr,vol,sharpe,maxdd,final_nav
50,15,last_3y,0.16765572692045727,0.2055013344455472,0.8609135351555097,-0.31322974756066946,1.5921739558995036
50,15,last_5y,0.13148586956787933,0.1940105756742751,0.7373449888382012,-0.3132297475606689,1.855050923000582
50,15,last_10y,0.11676481128413574,0.1886504115952174,0.6816094990498476,-0.31322974756067035,3.0159229549691906
50,15,full_common,0.128798382014351,0.19674291437563066,0.7173638970851827,-0.3132297475606699,6.650383458157433
50,18,last_3y,0.25468072152606536,0.20108037317311508,1.2358143727466322,-0.1655060311504556,1.9754548919094752
50,18,last_5y,0.19056769408466767,0.18935714843512677,1.0216342954235893,-0.22511898251322848,2.392908110986498
50,18,last_10y,0.15830122633035426,0.1886260180736136,0.8761655794907488,-0.29190824248583136,4.344632641626685
50,18,full_common,0.1868038850513658,0.19713952039720123,0.9718045271355006,-0.3668245881572255,14.526630027018111
50,20,last_3y,0.24711577380116623,0.2007390937118154,1.2073942742956163,-0.1590228569758413,1.9399295637003249
50,20,last_5y,0.20767338781670985,0.19392139097565722,1.0762515491542402,-0.18405559460261922,2.569897227054668
50,20,last_10y,0.1725879113799158,0.19231128849872667,0.9271004876526394,-0.3086516310262216,4.911002565921508
50,20,full_common,0.22046786899165105,0.20019167874953073,1.1006682270323673,-0.3086516310262215,22.46430713873553
50,22,last_3y,0.2677003638767248,0.1977419793507915,1.3057555857649008,-0.13398916789083815,2.0376066812239766
50,22,last_5y,0.19401536357598426,0.19343732266457597,1.0190046392361884,-0.21396481194259964,2.427770925279501
50,22,last_10y,0.1515481111787762,0.1916566054529466,0.8347486010721277,-0.3392853657669489,4.097974025199928
50,22,full_common,0.22074634249599434,0.19841137073985904,1.1097080425612686,-0.33928536576694945,22.4953085657623
50,25,last_3y,0.14108507268327464,0.19154167768830305,0.7884579551284596,-0.23596504334893387,1.4859127333642765
50,25,last_5y,0.16106055655987084,0.18793813677007254,0.8933643326300061,-0.3113479417026479,2.110607755887816
50,25,last_10y,0.1333671711536797,0.1899690670329957,0.756433558540021,-0.3224186231253173,3.4952882751973093
50,25,full_common,0.19720046047924655,0.19850677526305122,1.0110260231180033,-0.32241862312531744,16.573897712141907
55,15,last_3y,0.13011405388541997,0.2104621692241047,0.6893375877219564,-0.2996833620284004,1.443454794891671
55,15,last_5y,0.1055383711699196,0.2006042404838233,0.6032739755503475,-0.30109204936080536,1.6518042439138274
55,15,last_10y,0.09554019732096397,0.19277694150836752,0.5712739771461018,-0.3010920493608056,2.4895475614001334
55,15,full_common,0.11459097758426529,0.2002700680277007,0.6447639815546649,-0.37432931617311127,5.443998894236119
55,18,last_3y,0.24594415544703652,0.20512021392423727,1.1811173681405267,-0.1603554179436657,1.9344659815375884
55,18,last_5y,0.21369172566206207,0.1925586355799295,1.1084266519998205,-0.16740626400841374,2.634599850954944
55,18,last_10y,0.16641201088948154,0.19116957075468022,0.9036566891898277,-0.2704501740549361,4.658491253544806
55,18,full_common,0.19321818526728007,0.19758183250678335,0.9975765311226991,-0.3491233934179787,15.749652364216402
55,20,last_3y,0.32327559351078583,0.20360270189050686,1.4865726786176219,-0.1395817928320302,2.31757700119144
55,20,last_5y,0.26544366788114404,0.19683112788392534,1.3023810957996658,-0.1554863992323251,3.2465644528071107
55,20,last_10y,0.20011883810190967,0.19369803591225368,1.042123358698876,-0.3076987059053202,6.19322947941692
55,20,full_common,0.25335557044546664,0.2005685384916576,1.2324125799070529,-0.3076987059053211,33.883312556577984
55,22,last_3y,0.3042070131836889,0.20071561407108193,1.4318962425270707,-0.13543036509085093,2.21880197661555
55,22,last_5y,0.23397143809141552,0.19622720140592498,1.1762795388562415,-0.22079756271906603,2.8622859731047603
55,22,last_10y,0.1736067681187221,0.19292663304640986,0.9292007887630933,-0.27654068676992416,4.953823626783498
