signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,trade_count,cash_days,cash_ratio,bond_ratio
original_bias_momentum_bond_pool_naked,FULL_COMMON,2010-09-28,2026-05-08,3789,12.902397987955688,0.18368225648951508,0.22341496594624102,0.8700956200474841,-0.4589015450215117,2019-01-14,709.0,406,352,0.09290050145157033,0.17920295592504618
original_bias_momentum_bond_pool_naked,10Y,2016-05-09,2026-05-08,2428,1.9837434031113679,0.11556698413746624,0.20465382912142144,0.6380307824441251,-0.3483247960359246,2019-01-14,461.0,263,203,0.08360790774299835,0.16515650741350907
original_bias_momentum_bond_pool_naked,5Y,2021-05-10,2026-05-08,1211,1.3542137217253027,0.18702786956838602,0.2233735521028256,0.8817653070184441,-0.33030475809998394,2024-09-23,208.0,121,85,0.07018992568125516,0.15854665565648224
original_bias_momentum_bond_pool_naked,3Y,2023-05-08,2026-05-08,727,1.0078675242873216,0.2615041017598163,0.25100232647838455,1.0542744499967067,-0.29075793445041576,2024-09-23,132.0,79,49,0.06740027510316368,0.16643741403026135
original_bias_momentum_bond_pool_naked,1Y,2025-05-08,2026-05-08,243,0.8126158392985148,0.813354408470502,0.20851266899610407,2.97083254235292,-0.06886410643659768,2026-04-15,30.0,19,20,0.0823045267489712,0.04938271604938271
weighted_log_slope_bond_pool_naked,FULL_COMMON,2010-09-28,2026-05-08,3789,9.61078788687575,0.16336849680134202,0.23270228364605489,0.7698803375609578,-0.36828184795911534,2018-11-09,636.0,346,218,0.0575349696489839,0.1918712061229876
weighted_log_slope_bond_pool_naked,10Y,2016-05-09,2026-05-08,2428,2.889299610095636,0.14554294410429458,0.21117308174994623,0.7510476815957848,-0.24706733575982665,2018-11-09,411.0,222,114,0.04695222405271829,0.18245469522240526
weighted_log_slope_bond_pool_naked,5Y,2021-05-10,2026-05-08,1211,0.8215735283664316,0.12759618075211132,0.2254933877600957,0.6464043556170309,-0.23862619134458762,2025-06-20,222.0,118,48,0.03963666391412056,0.1833195706028076
weighted_log_slope_bond_pool_naked,3Y,2023-05-08,2026-05-08,727,0.32218903690793255,0.0975440545554882,0.2501011528336547,0.4963577242197912,-0.2386261913445873,2025-06-20,150.0,79,23,0.03163686382393398,0.2544704264099037
weighted_log_slope_bond_pool_naked,1Y,2025-05-08,2026-05-08,243,0.33073267286847385,0.33099312973121164,0.23504046244733043,1.3381013232160985,-0.21531797984958678,2025-12-16,42.0,22,9,0.037037037037037035,0.037037037037037035
weighted_log_slope_r2_bond_pool_naked,FULL_COMMON,2010-09-28,2026-05-08,3789,11.259046851188462,0.1741806678223512,0.22357739800735163,0.8336247684249931,-0.4275365074963069,2016-06-13,634.0,345,218,0.0575349696489839,0.2528371602005806
weighted_log_slope_r2_bond_pool_naked,10Y,2016-05-09,2026-05-08,2428,3.1939262175041376,0.15421751069075018,0.20201127345961814,0.8133085945587444,-0.2194453539765705,2018-10-11,403.0,218,114,0.04695222405271829,0.25164744645799014
weighted_log_slope_r2_bond_pool_naked,5Y,2021-05-10,2026-05-08,1211,1.0962929990579027,0.15976420989902684,0.21489723947091022,0.7992129415992352,-0.20251720761403302,2024-10-17,214.0,114,48,0.03963666391412056,0.27167630057803466
weighted_log_slope_r2_bond_pool_naked,3Y,2023-05-08,2026-05-08,727,0.632856481122402,0.17751508670030947,0.23792044056816702,0.8071395480333581,-0.20251720761403302,2024-10-17,130.0,69,23,0.03163686382393398,0.33700137551581844
weighted_log_slope_r2_bond_pool_naked,1Y,2025-05-08,2026-05-08,243,0.417478774419185,0.4178175338557595,0.21871045452754503,1.7113172482773384,-0.16902212351667345,2025-12-16,40.0,21,9,0.037037037037037035,0.06172839506172839
