case,window,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,defense_days_pct,switch_count,latest_streak,latest_below_ma,latest_triggered
volume_only,full,40,1,2015-04-03,2026-04-17,2684,23.11126957248808,16.24406049872804,1.4077715990839765,-14.725200716220343,1.5695045533084095,892.656114260871,-9.594581405922153,-0.1283310650390943,5.281012971131062,55.99850968703428,526,0,False,False
volume_only,last_5y,40,1,2021-04-19,2026-04-17,1211,26.866602129589246,16.99468908354911,1.5397016407326751,-12.901403028607882,2.082455843757039,228.1707768585034,-10.599214935929169,-0.12428990169987753,4.470597688935518,55.5739058629232,227,0,False,False
volume_only,last_3y,40,1,2023-04-17,2026-04-17,727,33.18542920213983,18.104116225724244,1.7361886315607675,-12.901403028607806,2.572234130547961,136.29543402876035,-1.5387199415706192,0.20711470299408297,4.47059768893563,57.08390646492435,130,0,False,False
volume_plus_stirrer,full,40,1,2015-04-03,2026-04-17,2684,29.64456381242313,18.722815028984012,1.5309807477736526,-15.833716119717645,1.872242977471783,1656.6953774449491,-3.0612871659871033,-0.005121916349418276,4.17249756763376,20.081967213114755,402,0,False,False
volume_plus_stirrer,last_5y,40,1,2021-04-19,2026-04-17,1211,33.649064900387906,19.51660343179429,1.6418863526012484,-15.833716119717556,2.125152721317587,325.65099372439204,-3.8167521651305094,-0.022105189831304273,1.5382845978258448,22.213047068538398,177,0,False,False
volume_plus_stirrer,last_3y,40,1,2023-04-17,2026-04-17,727,34.60956850331325,20.23260559893578,1.6284654221262425,-15.83371611971761,2.185814640204027,143.95860649418012,-0.11458064039720028,0.0993914935595579,1.5382845978258253,22.97111416781293,106,0,False,False
volume_only,full,40,2,2015-04-03,2026-04-17,2684,26.603757683494102,17.04598426912959,1.519583752980444,-14.725200716220376,1.8066821767793655,1251.7906742848713,-6.102093294916131,-0.016518911142626935,5.2810129711310285,46.19970193740686,358,0,False,False
volume_only,last_5y,40,2,2021-04-19,2026-04-17,1211,27.786269598100777,17.740556135632986,1.5246285472118355,-14.299430101442734,1.9431732174625123,240.22404271093944,-9.679547467417638,-0.13936299522071716,3.0725706161006663,46.24277456647399,167,0,False,False
volume_only,last_3y,40,2,2023-04-17,2026-04-17,727,32.910981952158444,18.648491860037268,1.6793841733927277,-14.299430101442622,2.3015589935180816,134.83735088320125,-1.8131671915520045,0.15031024482604316,3.0725706161008137,48.143053645116915,94,0,False,False
volume_plus_stirrer,full,40,2,2015-04-03,2026-04-17,2684,30.493076215571158,19.00919678114992,1.5463566409006086,-16.15554976389818,1.887467567566916,1787.8684737215185,-2.212774762839075,0.01025397677753781,3.850663923453226,16.207153502235467,298,0,False,False
volume_plus_stirrer,last_5y,40,2,2021-04-19,2026-04-17,1211,33.347580920202844,19.72802334479907,1.614484389269273,-16.15554976389807,2.0641563677840833,320.8775672124871,-4.118236145315571,-0.04950715316327958,1.2164509536453316,18.909991742361683,139,0,False,False
volume_plus_stirrer,last_3y,40,2,2023-04-17,2026-04-17,727,32.971575395628626,20.356535538939525,1.5571623150519658,-16.155549763898126,2.0408822898313432,135.15875417070978,-1.7525737480818222,0.028088386485281225,1.2164509536453103,20.220082530949107,84,0,False,False
volume_only,full,40,3,2015-04-03,2026-04-17,2684,28.098278952710775,17.60415881328715,1.5460516021924524,-15.515275743265244,1.8110073850867567,1438.7638607548304,-4.607572025699458,0.009948938069381574,4.490937944086161,39.53055141579732,274,0,False,False
volume_only,last_5y,40,3,2021-04-19,2026-04-17,1211,31.0754532042697,18.216749022653058,1.6345750680061055,-15.515275743265299,2.0028940328539497,286.26280418704437,-6.390363861248716,-0.029416474426447126,1.8567249742781016,39.38893476465731,135,0,False,False
volume_only,last_3y,40,3,2023-04-17,2026-04-17,727,36.14476875281542,19.077026347711385,1.7770889898116513,-15.515275743265322,2.329624645472685,152.40304761978103,1.4206196091049748,0.24801506124496675,1.856724974278114,41.67812929848693,74,0,False,False
volume_plus_stirrer,full,40,3,2015-04-03,2026-04-17,2684,31.426776399908253,19.197413140027635,1.5716030787467843,-16.154163031538758,1.9454289484730245,1942.4563779366633,-1.2790745785019801,0.03550041462371345,3.852050655812647,13.822652757078988,256,0,False,False
volume_plus_stirrer,last_5y,40,3,2021-04-19,2026-04-17,1211,34.75310671158886,19.83453024336588,1.661878884968716,-16.154163031538783,2.151340595222309,343.50237781329264,-2.712710353929552,-0.002112657463836598,1.2178376860046178,16.51527663088357,121,0,False,False
volume_plus_stirrer,last_3y,40,3,2023-04-17,2026-04-17,727,33.48345699788893,20.436702313397856,1.5714328462388245,-16.154163031538747,2.072744773747619,137.88561847880598,-1.2406921458215194,0.04235891767213995,1.217837686004689,18.29436038514443,76,0,False,False
volume_only,full,40,4,2015-04-03,2026-04-17,2684,28.561306725150715,17.981704945488122,1.5381213536257334,-17.339057027458548,1.64722376078009,1501.289764456529,-4.144544253259518,0.002018689502662596,2.667156659892857,34.42622950819672,216,0,False,False
volume_only,last_5y,40,4,2021-04-19,2026-04-17,1211,30.7669560218949,18.550368867871825,1.5952636776682732,-17.339057027458605,1.7744307532509702,281.7441804202828,-6.698861043623516,-0.0687278647642795,0.03294369008479592,33.85631709331131,111,0,False,False
volume_only,last_3y,40,4,2023-04-17,2026-04-17,727,33.239430567333585,19.32717433634359,1.6403479823663742,-17.339057027458594,1.9170264285246155,136.58304127335032,-1.4847185763768636,0.11127405379968969,0.0329436900848421,36.58872077028886,64,0,False,False
volume_plus_stirrer,full,40,4,2015-04-03,2026-04-17,2684,31.986729498200827,19.353459215345772,1.583260165845976,-16.43901946272773,1.9457808642860053,2040.599188993369,-0.7191214802094059,0.047157501722905115,3.567194224623673,11.847988077496275,222,0,False,False
