scope,window,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,full,20,13,2010-02-02,2026-04-30,3940,31.04733306382763,11.70195382641155,2.4595476825748275,-11.289688028973298,2.7500612048932873,7969.034409888414,-0.00824461534718779,0.005538162738609742,0.9119244121764023,51,1.2944162436548223,51,1.2944162436548223,26
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_10y,20,13,2016-05-03,2026-04-30,2426,31.97901888195629,13.570548437851256,2.1908455151467265,-11.289688028973321,2.832586586970946,1499.1684754489147,0.14220037998298096,0.013918475516550455,0.9119244121763792,44,1.8136850783182192,44,1.8136850783182192,20
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_5y,20,13,2021-04-30,2026-04-30,1208,32.579616654483544,16.294672360605485,1.887418285650562,-11.289688028973298,2.88578537962013,309.5434306675663,0.1827742706379496,0.010483308239529032,0.911924412176413,21,1.73841059602649,21,1.73841059602649,10
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_3y,20,13,2023-05-04,2026-04-30,723,27.9732234815971,15.487488296432762,1.7379657457407203,-11.289688028973355,2.477767623853543,109.05354801438322,0.414550138680017,0.024287039744799177,0.9119244121763899,20,2.7662517289073305,20,2.7662517289073305,8
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,full,21,13,2010-02-02,2026-04-30,3940,30.9796946388313,11.700228091135983,2.4553053363831827,-11.289688028973332,2.7440700362424937,7901.672013457199,-0.07588304034351623,0.0012958165469649785,0.9119244121763685,58,1.4720812182741116,58,1.4720812182741116,26
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_10y,21,13,2016-05-03,2026-04-30,2426,31.97901888195629,13.570548437851256,2.1908455151467265,-11.289688028973321,2.832586586970946,1499.1684754489147,0.14220037998298096,0.013918475516550455,0.9119244121763792,46,1.8961253091508656,46,1.8961253091508656,20
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_5y,21,13,2021-04-30,2026-04-30,1208,32.579616654483544,16.294672360605485,1.887418285650562,-11.289688028973298,2.88578537962013,309.5434306675663,0.1827742706379496,0.010483308239529032,0.911924412176413,23,1.903973509933775,23,1.903973509933775,10
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_3y,21,13,2023-05-04,2026-04-30,723,27.9732234815971,15.487488296432762,1.7379657457407203,-11.289688028973355,2.477767623853543,109.05354801438322,0.414550138680017,0.024287039744799177,0.9119244121763899,22,3.0428769017980635,22,3.0428769017980635,8
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,full,22,13,2010-02-02,2026-04-30,3940,30.903115862191655,11.685102063021596,2.453128441083294,-11.678963990527247,2.6460494173333378,7826.042840522157,-0.15246181698316263,-0.0008810787529238695,0.5226484506224534,61,1.5482233502538072,61,1.5482233502538072,28
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_10y,22,13,2016-05-03,2026-04-30,2426,31.853622791248924,13.549391467853935,2.1867658680713116,-11.678963990527247,2.7274356541458,1484.0536608228444,0.016804289275615503,0.009838828441135483,0.5226484506224534,49,2.019785655399835,49,2.019785655399835,22
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_5y,22,13,2021-04-30,2026-04-30,1208,32.32800953563337,16.259309442742826,1.8789706050466752,-11.678963990527258,2.768054560477662,305.6725608180793,-0.06883284821222446,0.0020356276356423564,0.5226484506224534,26,2.152317880794702,26,2.152317880794702,12
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_3y,22,13,2023-05-04,2026-04-30,723,27.567372811088788,15.424888551056018,1.7229112370871855,-11.678963990527224,2.3604296437122856,107.07764261500223,0.00869946817170586,0.009232531091264429,0.5226484506225209,25,3.4578146611341634,25,3.4578146611341634,10
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,full,23,13,2010-02-02,2026-04-30,3940,30.901737346496972,11.672593274011774,2.4555419772428086,-11.678963990527237,2.645931383259787,7824.687585577997,-0.15384033267784503,0.0015324574065909147,0.522648450622464,75,1.903553299492386,75,1.903553299492386,28
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_10y,23,13,2016-05-03,2026-04-30,2426,31.90244142495622,13.533881155865139,2.191963637231822,-11.678963990527203,2.731615702457192,1489.9227405503225,0.06562292298291084,0.015036597601645774,0.5226484506224978,55,2.267106347897774,55,2.267106347897774,22
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_5y,23,13,2021-04-30,2026-04-30,1208,32.24233008302186,16.2530930685281,1.8754743626593409,-11.67896399052719,2.7607183401861346,304.3611197197548,-0.15451230082373257,-0.0014606147516920132,0.5226484506225209,25,2.06953642384106,25,2.06953642384106,12
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_3y,23,13,2023-05-04,2026-04-30,723,27.76986032779767,15.492702414142693,1.7267249972398917,-11.678963990527214,2.377767441557466,108.06190276640031,0.2111869848805874,0.013046291243970609,0.5226484506225315,21,2.904564315352697,21,2.904564315352697,8
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,full,24,13,2010-02-02,2026-04-30,3940,30.875390498210752,11.672321801603989,2.4538032857734966,-11.678963990527247,2.6436754598484624,7798.827066375793,-0.18018718096406516,-0.00020623406272113343,0.5226484506224534,77,1.954314720812183,77,1.954314720812183,30
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_10y,24,13,2016-05-03,2026-04-30,2426,31.859293211278406,13.53351079156889,2.1895082027494475,-11.678963990527247,2.727921178378436,1484.7343685018336,0.022474709305097207,0.012581163119271377,0.5226484506224534,57,2.3495465787304206,57,2.3495465787304206,24
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_5y,24,13,2021-04-30,2026-04-30,1208,32.15589647408421,16.25248680688878,1.8713377816260397,-11.678963990527258,2.7533175459882977,303.0415738842605,-0.2409459097613862,-0.005597195784993181,0.5226484506224534,27,2.2350993377483444,27,2.2350993377483444,14
microcap_v1_0_costed_broad_own_volume_only_half_integer_ma,last_3y,24,13,2023-05-04,2026-04-30,723,27.63024815263071,15.491529156803022,1.719482175676257,-11.67896399052717,2.365813284041432,107.38293734680009,0.07157480971362773,0.00580346968033596,0.5226484506225759,23,3.18118948824343,23,3.18118948824343,10
