序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,000112,380电信,7753.58,4.13,307.45,4173885,21136562581.0,6.11,7770.81,7315.61,7315.61,7446.13,0.95
2,000040,上证电信,4460.66,2.83,122.74,12340680,37480268815.0,4.48,4470.8,4276.46,4276.46,4337.92,1.06
3,000078,电信等权,3865.98,2.71,102.08,12340680,37480268815.0,4.31,3871.76,3709.59,3709.59,3763.9,1.06
4,000122,农业主题,1776.1,2.18,37.84,10067070,9738274776.0,3.44,1785.57,1725.82,1727.44,1738.26,1.34
5,000819,有色金属,9745.7,1.67,159.63,37659002,87757549099.4,2.64,9749.95,9497.18,9629.26,9586.07,1.09
6,000823,800有色,11362.52,1.65,184.08,34347707,80588469852.0,2.62,11367.39,11074.41,11223.03,11178.44,1.04
7,000811,细分有色,11823.84,1.65,191.38,39184750,89967063540.0,2.6,11835.93,11533.15,11672.96,11632.46,1.09
8,000071,材料等权,5302.58,1.52,79.51,39992963,66177864874.0,2.4,5305.92,5180.52,5214.35,5223.07,1.01
9,000108,380消费,12454.57,1.47,180.2,3406817,5391077438.0,2.81,12523.3,12178.07,12189.92,12274.37,1.45
10,000944,内地资源,5714.39,1.47,82.68,42712646,95115570172.0,2.09,5719.59,5601.85,5659.25,5631.71,0.99
11,000805,A股资源,7977.46,1.44,113.02,45650923,94624229374.0,2.12,7982.44,7815.88,7918.39,7864.44,1.01
12,000105,380材料,5906.58,1.43,83.0,21683565,31138966989.0,2.23,5914.24,5784.27,5809.75,5823.58,1.09
13,000145,优势资源,9008.3,1.42,126.47,31304595,58255202313.0,2.22,9017.83,8820.61,8897.04,8881.83,1.05
14,000153,上民红利,3333.66,1.36,44.61,7491881,7087905434.0,1.91,3335.63,3272.94,3274.98,3289.05,1.05
15,000150,380红利,12365.99,1.36,166.37,9276683,9906283172.0,1.54,12373.25,12185.25,12206.52,12199.62,1.06
16,000961,中证上游,5441.66,1.33,71.21,43172839,97741888198.0,2.15,5447.15,5331.73,5392.26,5370.45,1.01
17,000857,500医药,10480.63,1.31,135.77,6205455,19713030665.0,2.3,10503.36,10265.14,10267.06,10344.86,1.08
18,000068,上证资源,4468.7,1.3,57.47,39015431,66054140044.0,1.89,4473.66,4390.48,4427.87,4411.23,1.03
19,000066,上证商品,3999.22,1.26,49.87,43559912,72955718100.0,1.81,4004.53,3933.08,3957.92,3949.35,0.99
20,000909,300材料,4211.79,1.24,51.53,34569757,69370544314.0,2.18,4211.79,4121.03,4160.08,4160.26,1.05
21,000854,500原料,6469.54,1.24,79.31,27486938,53285567469.0,2.16,6481.0,6342.79,6385.89,6390.23,0.86
22,000929,800材料,4708.7,1.23,57.4,62051876,122647379324.0,2.15,4711.52,4611.34,4649.9,4651.3,0.96
23,000092,资源50,5343.17,1.19,62.99,38796462,74985406621.0,1.75,5348.28,5255.7,5288.2,5280.18,1.01
24,000987,全指材料,5292.56,1.19,62.13,85439764,162090529604.8,2.11,5297.19,5186.93,5226.97,5230.43,0.97
25,000033,上证材料,3783.56,1.17,43.69,39998791,66187416797.0,2.25,3786.19,3702.02,3721.67,3739.87,1.01
26,000979,大宗商品,7542.19,1.12,83.59,67479471,129686724548.0,1.58,7557.4,7439.22,7480.32,7458.6,0.93
27,000094,上证上游,4868.48,1.1,52.9,38075802,64407411685.0,1.97,4872.32,4777.45,4821.25,4815.58,1.01
28,000978,医药100,10347.23,1.07,109.53,14213427,44222201843.0,2.14,10377.92,10159.1,10162.93,10237.7,1.19
29,000075,医药等权,6818.86,1.07,72.28,6630442,23110789003.0,2.37,6852.23,6692.67,6692.67,6746.58,1.36
30,000026,180资源,5879.25,1.06,61.76,19809902,40602925589.0,1.7,5888.36,5789.36,5828.37,5817.49,0.99
