序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920188,N悦龙,31.36,123.36,17.32,149971.0,516829001.0,65.74,40.0,30.77,39.86,14.04,,75.77,28.83,3.79,2602666689.0,620736045.0,1.92,-0.44,123.36,123.36
2,920078,族兴新材,30.13,20.28,5.08,116016.0,330073911.23,24.91,32.0,25.76,26.2,25.05,1.98,56.05,44.18,3.46,3615600000.0,623691000.0,1.72,1.52,331.66,331.66
3,300900,广联航空,38.16,20.0,6.36,566309.0,1974878610.32,21.86,38.16,31.21,31.21,31.8,1.68,22.05,539.4,8.79,12505807945.0,9798914035.0,0.0,0.0,46.71,-2.33
4,688693,锴威特,54.9,20.0,9.15,70088.0,377694499.0,8.94,54.9,50.81,54.9,45.75,2.03,18.02,-44.33,5.05,4045263184.0,2135852329.0,0.0,0.0,46.99,46.63
5,301008,宏昌科技,35.24,19.99,5.87,72033.0,253706048.36,5.72,35.24,33.56,35.24,29.37,5.23,6.22,137.42,3.08,4615144366.0,4082315566.0,0.0,0.0,2.77,2.14
6,688677,海泰新光,47.83,19.99,7.97,73536.0,331849362.0,21.5,47.83,39.26,39.75,39.86,5.54,6.13,33.41,4.26,5733716910.0,5733716910.0,0.0,0.0,12.17,10.82
7,300385,雪浪环境,19.82,19.98,3.3,653754.0,1150734859.42,26.45,19.82,15.45,15.75,16.52,1.34,22.49,-31.41,80.13,6602952372.0,5760933386.0,0.0,0.0,214.6,218.65
8,920576,天力复合,77.0,16.6,10.96,64829.0,464756027.52,22.61,79.0,64.07,64.51,66.04,2.52,6.05,380.43,18.78,8389150000.0,8248829358.0,1.32,2.16,-3.27,9.03
9,300313,*ST天山,8.62,15.24,1.14,121640.0,102047093.6,17.25,8.9,7.61,7.61,7.48,5.03,6.16,-132.5,78.44,2066894928.0,1701181041.0,0.0,0.23,3.23,7.35
10,301005,超捷股份,163.5,14.42,20.6,165168.0,2560532429.96,18.96,168.6,141.51,141.51,142.9,2.4,12.48,579.13,28.54,21951675299.0,21642590811.0,-0.32,-0.32,45.41,5.3
11,688308,欧科亿,90.57,13.85,11.02,380920.0,3565894228.0,8.15,95.46,88.98,95.46,79.55,4.49,23.99,138.52,5.43,14380859294.0,14380859294.0,-0.03,-0.15,190.47,186.25
12,300300,海峡创新,14.36,12.98,1.65,1606694.0,2214250719.98,18.49,14.56,12.21,12.3,12.71,1.82,24.1,-416.63,67.5,9575923810.0,9575314228.0,0.98,0.84,-17.14,-4.46
13,300961,深水海纳,14.44,12.72,1.63,214966.0,305012269.56,17.1,14.79,12.6,12.67,12.81,1.71,14.09,-79.6,3.49,2559923200.0,2203092505.0,0.07,-0.21,2.12,0.91
14,688156,路德科技,22.7,12.43,2.51,61093.0,130837195.0,14.61,22.75,19.8,19.82,20.19,2.21,6.07,-32.51,3.0,2286211364.0,2286211364.0,-0.13,0.67,41.52,41.79
15,688288,鸿泉技术,26.62,11.99,2.85,66250.0,174530781.0,11.7,27.79,25.01,26.47,23.77,4.32,6.64,90.3,3.51,2657040800.0,2657040800.0,0.0,-0.71,-3.13,-0.71
16,688336,三生国健,79.97,11.8,8.44,123462.0,977310846.0,21.19,85.8,70.64,71.0,71.53,1.98,2.0,16.82,5.85,49428377645.0,49324359866.0,-0.05,-0.06,31.9,34.25
17,688257,新锐股份,72.46,10.76,7.04,160749.0,1141037393.0,10.01,74.4,67.85,70.0,65.42,2.2,6.37,77.3,7.72,18289520200.0,18289520200.0,-0.28,-0.32,124.82,111.38
18,301216,万凯新材,27.07,10.76,2.63,290593.0,754437855.74,16.33,27.67,23.68,25.99,24.44,2.33,5.3,151.81,2.59,15705706485.0,14843083497.0,0.41,0.22,54.51,60.56
