rebalance_date,rank,symbol,name,market_cap,target_weight
2026-03-05,1,688701,卓锦股份,1309204377.0,0.01
2026-03-05,2,002883,中设股份,1560010088.3400002,0.01
2026-03-05,3,300929,华骐环保,1580310153.76,0.01
2026-03-05,4,688217,睿昂基因,1590775918.08,0.01
2026-03-05,5,002719,麦趣尔,1628203922.95,0.01
2026-03-05,6,603729,龙韵股份,1636215140.0,0.01
2026-03-05,7,688296,和达科技,1636822672.2,0.01
2026-03-05,8,600543,莫高股份,1644134400.0,0.01
2026-03-05,9,301098,金埔园林,1660938278.37,0.01
2026-03-05,10,688659,元琛科技,1664000000.0,0.01
2026-03-05,11,002193,如意集团,1688065297.5000002,0.01
2026-03-05,12,600455,博通股份,1728837440.0,0.01
2026-03-05,13,300665,飞鹿股份,1740618553.5,0.01
2026-03-05,14,688671,碧兴物联,1762749304.9999998,0.01
2026-03-05,15,688004,博汇科技,1770745680.0,0.01
2026-03-05,16,300621,维业股份,1787207052.9999998,0.01
2026-03-05,17,688021,奥福科技,1790373389.3099997,0.01
2026-03-05,18,688793,倍轻松,1791961986.1500003,0.01
2026-03-05,19,002856,美芝股份,1792894706.0,0.01
2026-03-05,20,603880,南卫股份,1829635860.0,0.01
2026-03-05,21,688067,爱威科技,1840760000.0,0.01
2026-03-05,22,301372,科净源,1851428610.0,0.01
2026-03-05,23,300635,中达安,1859385919.9999998,0.01
2026-03-05,24,300417,南华仪器,1862354688.0,0.01
2026-03-05,25,300649,杭州园林,1881640013.89,0.01
2026-03-05,26,688528,秦川物联,1901760000.0,0.01
2026-03-05,27,300295,三六五网,1930267608.52,0.01
2026-03-05,28,688329,艾隆科技,1933088000.0,0.01
2026-03-05,29,301167,建研设计,1937600000.0,0.01
2026-03-05,30,600561,江西长运,1940131776.0000002,0.01
2026-03-05,31,688078,龙软科技,1941140590.0,0.01
2026-03-05,32,001211,双枪科技,1959840000.0,0.01
2026-03-05,33,600883,博闻科技,1966613040.0,0.01
2026-03-05,34,688193,仁度生物,2020723544.1,0.01
2026-03-05,35,600697,欧亚集团,2036327360.0000002,0.01
2026-03-05,36,688565,力源科技,2040819900.0000002,0.01
2026-03-05,37,600476,湘邮科技,2048810400.0,0.01
2026-03-05,38,688573,信宇人,2051864604.12,0.01
2026-03-05,39,600137,浪莎股份,2052263282.6799998,0.01
2026-03-05,40,300405,科隆股份,2053170684.62,0.01
2026-03-05,41,600847,万里股份,2058649781.9999998,0.01
2026-03-05,42,300500,启迪设计,2066821443.72,0.01
2026-03-05,43,688681,科汇股份,2076652800.0,0.01
2026-03-05,44,688178,万德斯,2079897242.6799998,0.01
2026-03-05,45,600448,华纺股份,2084703081.2200003,0.01
2026-03-05,46,002494,华斯股份,2086528270.54,0.01
2026-03-05,47,600493,凤竹纺织,2088960000.0,0.01
2026-03-05,48,603860,中公高科,2100420000.0,0.01
2026-03-05,49,688450,光格科技,2104080000.0,0.01
2026-03-05,50,300169,天晟新材,2105858836.4,0.01
2026-03-05,51,603717,天域生物,2112264627.2,0.01
2026-03-05,52,300886,华业香料,2113043500.0,0.01
2026-03-05,53,600778,友好集团,2118141193.6000001,0.01
2026-03-05,54,603879,永悦科技,2148879751.2000003,0.01
2026-03-05,55,603779,威龙股份,2155217073.46,0.01
2026-03-05,56,000692,惠天热电,2157973552.7999997,0.01
2026-03-05,57,001336,楚环科技,2158028475.0000005,0.01
2026-03-05,58,301336,趣睡科技,2160800000.0,0.01
2026-03-05,59,688638,誉辰智能,2165520000.0,0.01
2026-03-05,60,002316,亚联发展,2170022400.0,0.01
2026-03-05,61,688189,南新制药,2170504000.0,0.01
2026-03-05,62,301037,保立佳,2171674935.3199997,0.01
2026-03-05,63,000610,西安旅游,2173345731.18,0.01
2026-03-05,64,300958,建工修复,2181773179.68,0.01
2026-03-05,65,688156,路德科技,2188518631.6099997,0.01
2026-03-05,66,688466,金科环境,2196331652.96,0.01
2026-03-05,67,301139,元道通信,2196965056.0,0.01
2026-03-05,68,301273,瑞晨环保,2201552268.16,0.01
2026-03-05,69,603022,新通联,2202000000.0,0.01
2026-03-05,70,605567,春雪食品,2204000000.0,0.01
2026-03-05,71,002591,恒大高新,2206466207.3999996,0.01
2026-03-05,72,603908,牧高笛,2208972155.36,0.01
2026-03-05,73,300838,浙江力诺,2210407560.0,0.01
2026-03-05,74,300923,研奥股份,2215734000.0,0.01
2026-03-05,75,002715,登云股份,2216279999.9999995,0.01
2026-03-05,76,002188,中天服务,2221035236.56,0.01
2026-03-05,77,002360,同德化工,2221811591.44,0.01
2026-03-05,78,300675,建科院,2223467172.0,0.01
2026-03-05,79,001366,播恩集团,2227024800.0,0.01
2026-03-05,80,300717,华信新材,2227134250.0,0.01
2026-03-05,81,688096,京源环保,2228259173.7599998,0.01
2026-03-05,82,603709,中源家居,2231566439.9999995,0.01
