action,symbol,name,prev_rank,new_rank,signal_date,effective_date
enter,301336,趣睡科技,,58.0,2026-03-05,2026-03-06
enter,300675,建科院,,78.0,2026-03-05,2026-03-06
enter,301010,晶雪节能,,84.0,2026-03-05,2026-03-06
enter,300106,西部牧业,,90.0,2026-03-05,2026-03-06
enter,600119,长江投资,,94.0,2026-03-05,2026-03-06
enter,688670,金迪克,,95.0,2026-03-05,2026-03-06
enter,300640,德艺文创,,96.0,2026-03-05,2026-03-06
enter,300556,丝路视觉,,97.0,2026-03-05,2026-03-06
enter,002820,桂发祥,,98.0,2026-03-05,2026-03-06
enter,688420,美腾科技,,100.0,2026-03-05,2026-03-06
exit,300013,新宁物流,70.0,,2026-03-05,2026-03-06
exit,002652,扬子新材,74.0,,2026-03-05,2026-03-06
exit,688272,富吉瑞,75.0,,2026-03-05,2026-03-06
exit,600149,廊坊发展,80.0,,2026-03-05,2026-03-06
exit,300535,达威股份,87.0,,2026-03-05,2026-03-06
exit,000632,三木集团,90.0,,2026-03-05,2026-03-06
exit,300854,中兰环保,93.0,,2026-03-05,2026-03-06
exit,603183,建研院,94.0,,2026-03-05,2026-03-06
exit,300334,津膜科技,97.0,,2026-03-05,2026-03-06
exit,300614,百川畅银,98.0,,2026-03-05,2026-03-06
