action,symbol,name,prev_rank,new_rank,realtime_market_cap,realtime_price,signal_date,effective_date
enter,300535,达威股份,,56.0,2113642294.25,19.75,2026-03-05,2026-03-06
enter,301049,超越科技,,61.0,2118814948.32,22.48,2026-03-05,2026-03-06
enter,300614,百川畅银,,75.0,2153113912.18,13.42,2026-03-05,2026-03-06
enter,301024,霍普股份,,77.0,2159346600.0,33.96,2026-03-05,2026-03-06
enter,301030,仕净科技,,81.0,2165501631.0,10.7,2026-03-05,2026-03-06
enter,300013,新宁物流,,85.0,2172016097.66,3.89,2026-03-05,2026-03-06
enter,300103,达刚控股,,87.0,2197798920.0,6.92,2026-03-05,2026-03-06
enter,688393,安必平,,95.0,2224104205.23,23.77,2026-03-05,2026-03-06
enter,603214,爱婴室,,98.0,2234650780.68,16.13,2026-03-05,2026-03-06
enter,300163,先锋新材,,99.0,2237280000.0,4.72,2026-03-05,2026-03-06
exit,688178,万德斯,44.0,,,,2026-03-05,2026-03-06
exit,688450,光格科技,49.0,,,,2026-03-05,2026-03-06
exit,000692,惠天热电,56.0,,,,2026-03-05,2026-03-06
exit,688156,路德科技,65.0,,,,2026-03-05,2026-03-06
exit,002360,同德化工,77.0,,,,2026-03-05,2026-03-06
exit,001366,播恩集团,79.0,,,,2026-03-05,2026-03-06
exit,301010,晶雪节能,84.0,,,,2026-03-05,2026-03-06
exit,300069,金利华电,88.0,,,,2026-03-05,2026-03-06
exit,002963,豪尔赛,93.0,,,,2026-03-05,2026-03-06
exit,300640,德艺文创,96.0,,,,2026-03-05,2026-03-06
