date,V7.5_current_default,V7.5_two_180_360,V7.5_two_180_390,V7.5_two_180_420,V7.5_two_200_360,V7.5_two_200_390,V7.5_two_200_420,V7.5_two_210_360,V7.5_two_210_390,V7.5_two_210_420,V7.5_two_220_360,V7.5_two_220_390,V7.5_two_220_420,V7.5_two_240_360,V7.5_two_240_390,V7.5_two_240_420,V7.5_two_260_360,V7.5_two_260_390,V7.5_two_260_420,V7.5_three_180_240_390,V7.6_current_default,V7.6_two_180_360,V7.6_two_180_390,V7.6_two_180_420,V7.6_two_200_360,V7.6_two_200_390,V7.6_two_200_420,V7.6_two_210_360,V7.6_two_210_390,V7.6_two_210_420,V7.6_two_220_360,V7.6_two_220_390,V7.6_two_220_420,V7.6_two_240_360,V7.6_two_240_390,V7.6_two_240_420,V7.6_two_260_360,V7.6_two_260_390,V7.6_two_260_420,V7.6_three_180_240_390
2008-10-31,,-0.0010883055896138,,,-0.0010883055896138,,,-0.0010883055896138,,,-0.0010883055896138,,,-0.0010883055896138,,,-0.0010883055896138,,,,,-0.0010883054774537,,,-0.0010883054774537,,,-0.0010883054774537,,,-0.0010883054774537,,,-0.0010883054774537,,,-0.0010883054774537,,,
2008-11-03,,-0.001,,,-0.001,,,-0.001,,,-0.001,,,-0.001,,,-0.001,,,,,-0.001,,,-0.001,,,-0.001,,,-0.001,,,-0.001,,,-0.001,,,
2008-11-04,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,
2008-11-05,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,
2008-11-06,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,
2008-11-07,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,
2008-11-10,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,
2008-11-11,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,
2008-11-12,,-0.0007094182683523,,,-0.0007094182683523,,,-0.0012258084859003,,,-0.0007094182683523,,,-0.0012258084859003,,,-0.0007094182683523,,,,,-0.0007461790601359,,,-0.0007461790601359,,,-0.0010044095579934,,,-0.0007461790601359,,,-0.0010044095579934,,,-0.0007461790601359,,,
2008-11-13,,-0.0036710375550648,,,-0.0036710375550648,,,-0.0016751110375713,,,-0.0036710375550648,,,-0.0016751110375713,,,-0.0036710375550648,,,,,-0.0018356258868131,,,-0.0018356258868131,,,-0.0008376213768601,,,-0.0018356258868131,,,-0.0008376213768601,,,-0.0018356258868131,,,
