phase,candidate,pool,valid_start,segment,start,end,rows,bias_n,mom_day,top_n,target_vol,vol_window,scale_threshold,max_lev,pair_decay_enabled,pair_decay_ratio,pair_recovery_ratio,pair_derisk_scale,same_side_enabled,same_side_enter,same_side_exit,same_side_derisk_scale,risk_gate_enabled,risk_gate_enter,risk_gate_exit,risk_gate_scale,risk_gate_cooldown,avg_weight,max_weight,avg_gross_exposure,avg_turnover,total_trade_cost,signal_count,pair_changes,direction_changes,cagr,ann_vol,sharpe,max_dd,calmar,total_return
V7.5_formal_adk,V7.5,full5,2014-10-17,full_valid,2014-10-17,2026-04-30,2805,60,20,1,0.2,30,0.1,1.5,True,0.4,0.7,0.0,True,0.22,0.18,0.0,False,0.15,0.08,0.5,0,1.0611350130442534,1.5,2.122270026088507,0.4820273866639282,0.6760434097961593,660,508,206,0.2972240347200148,0.20090521995480923,1.3894256252623531,-0.20783966270842336,1.4300640736556047,19.11771958299512
V7.5_formal_adk,V7.5,full5,2014-10-17,1Y,2025-04-30,2026-04-30,243,60,20,1,0.2,30,0.1,1.5,True,0.4,0.7,0.0,True,0.22,0.18,0.0,False,0.15,0.08,0.5,0,1.1327044823009005,1.5,2.265408964601801,0.5728555291860029,0.06960194679609935,66,49,21,0.24130482286886057,0.19847383646310088,1.1827670772845602,-0.16576908220326325,1.4556684495180872,0.24112117847936165
V7.5_formal_adk,V7.5,full5,2014-10-17,3Y,2023-05-04,2026-04-30,726,60,20,1,0.2,30,0.1,1.5,True,0.4,0.7,0.0,True,0.22,0.18,0.0,False,0.15,0.08,0.5,0,1.1480132657765996,1.5,2.296026531553199,0.5405749075192572,0.19622869142949034,183,139,64,0.2773309077600159,0.21382209681670603,1.2466879939503506,-0.19743549981449826,1.4046658681978867,1.0788294087948396
V7.5_formal_adk,V7.5,full5,2014-10-17,5Y,2021-04-30,2026-04-30,1211,60,20,1,0.2,30,0.1,1.5,True,0.4,0.7,0.0,True,0.22,0.18,0.0,False,0.15,0.08,0.5,0,1.1294887609625546,1.5,2.258977521925109,0.4973785210000076,0.30116269446550464,292,219,93,0.2943416710282969,0.2074678101642759,1.345695146238472,-0.19743549981449615,1.4908244530737915,2.632185110082046
V7.5_formal_adk,V7.5,full5,2014-10-17,10Y,2016-05-03,2026-04-30,2428,60,20,1,0.2,30,0.1,1.5,True,0.4,0.7,0.0,True,0.22,0.18,0.0,False,0.15,0.08,0.5,0,1.1360603329787118,1.5,2.2721206659574236,0.5017731646861893,0.6091526219290337,575,435,172,0.2854369068839089,0.20105593615967468,1.3440160437570692,-0.20783966270842302,1.3733514727857625,11.287475748211682
V7.6_formal_adk,V7.6,full5,2014-10-17,full_valid,2014-10-17,2026-04-30,2805,60,20,1,0.2,30,0.1,1.5,True,0.4,0.7,0.0,True,0.22,0.18,0.0,True,0.15,0.08,0.5,0,0.9512879898935256,1.5,1.9025759797870512,0.4563454660526825,0.6400245161388872,641,502,232,0.3073593137020698,0.18888914023051503,1.5065588076842171,-0.1588495901917203,1.934907816451454,21.007227554369088
V7.6_formal_adk,V7.6,full5,2014-10-17,1Y,2025-04-30,2026-04-30,243,60,20,1,0.2,30,0.1,1.5,True,0.4,0.7,0.0,True,0.22,0.18,0.0,True,0.15,0.08,0.5,0,1.0529137319439,1.5,2.1058274638878,0.5444801925475795,0.0661543433945309,65,48,23,0.2796048804564977,0.19308984027970544,1.367085123604661,-0.15843065213958452,1.7648408100356314,0.27938895870200753
V7.6_formal_adk,V7.6,full5,2014-10-17,3Y,2023-05-04,2026-04-30,726,60,20,1,0.2,30,0.1,1.5,True,0.4,0.7,0.0,True,0.22,0.18,0.0,True,0.15,0.08,0.5,0,1.0695849825707593,1.5,2.1391699651415186,0.5383898570999042,0.19543551812726523,184,143,75,0.33012676868173463,0.20041934350568244,1.518128478404075,-0.15884959019172107,2.078234940885231,1.3464272771184844
V7.6_formal_adk,V7.6,full5,2014-10-17,5Y,2021-04-30,2026-04-30,1211,60,20,1,0.2,30,0.1,1.5,True,0.4,0.7,0.0,True,0.22,0.18,0.0,True,0.15,0.08,0.5,0,1.0591323926935279,1.5,2.1182647853870558,0.4945575824883872,0.2994546161967185,292,224,107,0.31725260701928226,0.19682130412193166,1.4969252062848835,-0.15884959019172173,1.997188703076777,2.965184728333457
V7.6_formal_adk,V7.6,full5,2014-10-17,10Y,2016-05-03,2026-04-30,2428,60,20,1,0.2,30,0.1,1.5,True,0.4,0.7,0.0,True,0.22,0.18,0.0,True,0.15,0.08,0.5,0,1.0283750346523453,1.5,2.0567500693046905,0.4843978033810467,0.5880589333045907,572,443,200,0.30084948542150847,0.1897968507797258,1.4748580650984842,-0.15884959019172096,1.893926733197127,12.841269245910121
