window,requested_start,actual_start,end_date,annual,max_dd,total_return,enough_history,note
1Y,2025-04-20,2025-04-21,2026-04-17,49.81758144749586,-8.921414135803602,49.114527554143095,False,窗口起点被可用样本截断
3Y,2023-04-20,2023-04-20,2026-04-17,31.573067996119477,-8.973544527433196,127.3022767310346,True,
5Y,2021-04-20,2021-04-20,2026-04-17,25.05457328039611,-9.095284051719787,205.23469692547383,True,
10Y,2016-04-20,2016-04-20,2026-04-17,25.918858860029516,-9.776732123620791,899.8818261458451,True,
15Y,2011-04-20,2011-04-20,2026-04-17,24.255074734062298,-11.535428991092589,2494.19085454816,True,
