version,window,start_date,actual_start,end_date,annual_pct,return_pct,max_dd_pct
V6.5,1Y,2025-04-20,2025-04-21,2026-04-17,50.741990463517126,50.02386016603775,-9.111656995856782
V6.5,3Y,2023-04-20,2023-04-20,2026-04-17,31.932102413836304,129.16343325795435,-9.717231681596587
V6.5,5Y,2021-04-20,2021-04-20,2026-04-17,26.77070846649563,226.72165717760987,-9.412540700142664
V6.5,10Y,2016-04-20,2016-04-20,2026-04-17,27.993784793577703,1077.2309704780318,-10.081839423620844
V6.5,15Y,2011-04-20,2011-04-20,2026-04-17,23.182532690943923,2178.0076839641206,-12.54784299002699
V6.7,1Y,2025-04-20,2025-04-21,2026-04-17,53.211254331672194,52.45253517967314,-8.231973764774356
V6.7,3Y,2023-04-20,2023-04-20,2026-04-17,33.39839644204392,136.86972560450945,-10.737133279453854
V6.7,5Y,2021-04-20,2021-04-20,2026-04-17,27.846183392323187,240.7921074403098,-10.878787971463794
V6.7,10Y,2016-04-20,2016-04-20,2026-04-17,28.933508097669304,1166.4860653821847,-11.69924594475602
V6.7,15Y,2011-04-20,2011-04-20,2026-04-17,24.88625535836304,2698.9361323531966,-11.99181517141552
V6.8,1Y,2025-04-20,2025-04-21,2026-04-17,53.00928596988499,52.25390390252349,-7.898481330226911
V6.8,3Y,2023-04-20,2023-04-20,2026-04-17,34.00037393986408,140.08279496629066,-10.659372961883438
V6.8,5Y,2021-04-20,2021-04-20,2026-04-17,28.456630980126228,248.99155742260825,-10.735652752750095
V6.8,10Y,2016-04-20,2016-04-20,2026-04-17,29.28828513225088,1201.735465290268,-11.511944550211071
V6.8,15Y,2011-04-20,2011-04-20,2026-04-17,25.429183777528074,2887.0197227285967,-11.803325942639347
V6.9,1Y,2025-04-20,2025-04-21,2026-04-17,49.81758970151346,49.11453567383486,-8.921414161638205
V6.9,3Y,2023-04-20,2023-04-20,2026-04-17,31.5730830129586,127.30235436384336,-8.973534115548514
V6.9,5Y,2021-04-20,2021-04-20,2026-04-17,25.05456190422923,205.23455833715062,-9.095275434613152
V6.9,10Y,2016-04-20,2016-04-20,2026-04-17,25.918872767453173,899.8829294326773,-9.776724502232627
V6.9,15Y,2011-04-20,2011-04-20,2026-04-17,24.255071454015642,2494.1898278543467,-11.53543762698192
