candidate,label,source,window,rows,avg_weight,max_weight,active_day_rate_gt_1pct
DBMF,CTA/managed futures ETF,US local ETF close,full_common,3840,0.0524134677164758,0.5103499628824352,0.23515625
DBMF,CTA/managed futures ETF,US local ETF close,high_inflation_2021_2022,730,0.1673905627699432,0.5103499628824352,0.5602739726027397
DBMF,CTA/managed futures ETF,US local ETF close,inflation_shock_2022,304,0.3179241106400086,0.5103499628824352,0.8914473684210527
DBMF,CTA/managed futures ETF,US local ETF close,latest_3y,1097,0.0475950828063614,0.3191807069928261,0.2871467639015497
DBMF,CTA/managed futures ETF,US local ETF close,latest_1y,366,0.0652723164635724,0.3191807069928261,0.3633879781420765
VNQ,US REIT ETF,US local ETF close,full_common,3840,0.0809636100192223,0.6093963888559721,0.3955729166666666
VNQ,US REIT ETF,US local ETF close,high_inflation_2021_2022,730,0.1236265532109903,0.4430461554076806,0.5465753424657535
VNQ,US REIT ETF,US local ETF close,inflation_shock_2022,304,0.0785021547065661,0.3353246982242674,0.4539473684210526
VNQ,US REIT ETF,US local ETF close,latest_3y,1097,0.0388571909402706,0.5388329588810651,0.2488605287146764
VNQ,US REIT ETF,US local ETF close,latest_1y,366,0.0020265095963971,0.1059575017544782,0.0191256830601092
VGIT,intermediate Treasury ETF,US local ETF close,full_common,3840,0.0150274305336793,0.6072041208499304,0.0528645833333333
VGIT,intermediate Treasury ETF,US local ETF close,high_inflation_2021_2022,730,0.0,0.0,0.0
VGIT,intermediate Treasury ETF,US local ETF close,inflation_shock_2022,304,0.0,0.0,0.0
VGIT,intermediate Treasury ETF,US local ETF close,latest_3y,1097,0.0083878375359986,0.6072041208499304,0.0255241567912488
VGIT,intermediate Treasury ETF,US local ETF close,latest_1y,366,0.0088798762019986,0.2460428721975882,0.0382513661202185
VTI,total US equity ETF,US local ETF close,full_common,3840,0.1246801630452578,0.6128170987960729,0.4903645833333333
VTI,total US equity ETF,US local ETF close,high_inflation_2021_2022,730,0.1049583035835867,0.565639693578397,0.584931506849315
VTI,total US equity ETF,US local ETF close,inflation_shock_2022,304,0.048501291140192,0.2486708982320916,0.3782894736842105
VTI,total US equity ETF,US local ETF close,latest_3y,1097,0.1929057716883239,0.6128170987960729,0.6253418413855971
VTI,total US equity ETF,US local ETF close,latest_1y,366,0.0258922480703607,0.1891733903785259,0.1721311475409836
SPY,S&P 500 ETF,US local ETF close,full_common,3840,0.1206138914479432,0.6357974463453299,0.4940104166666667
SPY,S&P 500 ETF,US local ETF close,high_inflation_2021_2022,730,0.0923934895614448,0.364471386301017,0.5561643835616439
SPY,S&P 500 ETF,US local ETF close,inflation_shock_2022,304,0.0719201823243719,0.364471386301017,0.4243421052631579
SPY,S&P 500 ETF,US local ETF close,latest_3y,1097,0.204890889605304,0.6357974463453299,0.6636280765724704
SPY,S&P 500 ETF,US local ETF close,latest_1y,366,0.026458945442066,0.1949782230347766,0.1721311475409836
CN_CSI300,A-share CSI 300 index proxy,"CN local CNY index close, no FX/execution model",full_common,3840,0.0603488755292689,0.4917929601272766,0.3299479166666667
CN_CSI300,A-share CSI 300 index proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,730,0.0248994665272239,0.4455167140289549,0.1232876712328767
CN_CSI300,A-share CSI 300 index proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,304,0.0,0.0,0.0
CN_CSI300,A-share CSI 300 index proxy,"CN local CNY index close, no FX/execution model",latest_3y,1097,0.0746352869511645,0.4084912020745665,0.3892433910665451
CN_CSI300,A-share CSI 300 index proxy,"CN local CNY index close, no FX/execution model",latest_1y,366,0.1273656352970419,0.4084912020745665,0.6502732240437158
CN_CSI500,A-share CSI 500 index proxy,"CN local CNY index close, no FX/execution model",full_common,3840,0.0663566302282715,0.4600403694365741,0.3869791666666666
CN_CSI500,A-share CSI 500 index proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,730,0.0367449960425944,0.4000908299092037,0.2589041095890411
CN_CSI500,A-share CSI 500 index proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,304,0.0259895076756717,0.1934082172883674,0.2006578947368421
CN_CSI500,A-share CSI 500 index proxy,"CN local CNY index close, no FX/execution model",latest_3y,1097,0.1001559851007335,0.4600403694365741,0.4867821330902461
CN_CSI500,A-share CSI 500 index proxy,"CN local CNY index close, no FX/execution model",latest_1y,366,0.2066577070124677,0.4600403694365741,0.9043715846994536
CN_CSI1000,A-share CSI 1000 index proxy,"CN local CNY index close, no FX/execution model",full_common,3840,0.0727851277930542,0.4789109383948886,0.44296875
CN_CSI1000,A-share CSI 1000 index proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,730,0.0545940119528256,0.3409342480199822,0.4410958904109589
CN_CSI1000,A-share CSI 1000 index proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,304,0.0558966079249626,0.3409342480199822,0.4309210526315789
CN_CSI1000,A-share CSI 1000 index proxy,"CN local CNY index close, no FX/execution model",latest_3y,1097,0.0986163219257236,0.4789109383948886,0.4594348222424795
CN_CSI1000,A-share CSI 1000 index proxy,"CN local CNY index close, no FX/execution model",latest_1y,366,0.1879183720053972,0.4789109383948886,0.7650273224043715
CN_CHINEXT,A-share ChiNext index proxy,"CN local CNY index close, no FX/execution model",full_common,3840,0.0807113337661452,0.4708875019343626,0.4453125
CN_CHINEXT,A-share ChiNext index proxy,"CN local CNY index close, no FX/execution model",high_inflation_2021_2022,730,0.0516782819005236,0.3858591104136149,0.3246575342465753
CN_CHINEXT,A-share ChiNext index proxy,"CN local CNY index close, no FX/execution model",inflation_shock_2022,304,0.0164461496105243,0.1111111111111111,0.1546052631578947
CN_CHINEXT,A-share ChiNext index proxy,"CN local CNY index close, no FX/execution model",latest_3y,1097,0.0962228544237739,0.3659244250925282,0.4995442114858706
CN_CHINEXT,A-share ChiNext index proxy,"CN local CNY index close, no FX/execution model",latest_1y,366,0.1977747093680399,0.3659244250925282,0.9426229508196722
