合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,50ETF,,,1489669,767324,722345,94.14,2496531,1450526,1046005,2021-11-01
510300,300ETF,,,902162,447816,454346,101.46,1624424,833838,790586,2021-11-01
