合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,172,74949,2268012,1200459,1067553,88.93,2467991,1601946,866045,2024-01-17
510300,沪深300ETF,106,88614,1867539,944273,923266,97.78,1767066,1109122,657944,2024-01-17
510500,中证500ETF,90,63494,864327,386667,477660,123.53,917372,494959,422413,2024-01-17
588000,科创50ETF,94,14055,536429,290992,245437,84.34,1153804,814402,339402,2024-01-17
588080,科创板50ETF,92,7171,330273,182408,147865,81.06,544989,381173,163816,2024-01-17
