合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,106,89014,2296330,1363895,932435,68.37,1550957,722383,828574,2025-08-14
510300,沪深300ETF,144,113095,1995241,1105132,890109,80.54,1396875,660947,735928,2025-08-14
510500,中证500ETF,96,185157,2165287,1165202,1000085,85.83,1389304,627327,761977,2025-08-14
588000,科创50ETF,96,75208,2219206,1503229,715977,47.63,1953793,1116976,836817,2025-08-14
588080,科创板50ETF,90,16259,525358,368003,157355,42.76,556087,310947,245140,2025-08-14
