合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,172,103124,2757424,1573312,1184112,75.26,1642006,958609,683397,2024-01-24
510300,沪深300ETF,186,128127,2264584,1172993,1091591,93.06,1436480,837225,599255,2024-01-24
510500,中证500ETF,106,165574,1831388,972191,859197,88.38,785205,432198,353007,2024-01-24
588000,科创50ETF,94,23231,794807,409715,385092,93.99,936491,644790,291701,2024-01-24
588080,科创板50ETF,100,9056,388737,196752,191985,97.58,450924,312596,138328,2024-01-24
