合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,130,61428,1111008,588632,522376,88.74,1159951,664866,495085,2026-01-30
510300,沪深300ETF华泰柏瑞,158,100631,1366415,705204,661211,93.76,1275735,699600,576135,2026-01-30
510500,中证500ETF,178,319786,1941304,828387,1112917,134.35,1269369,567566,701803,2026-01-30
588000,科创50ETF,120,66222,1461728,719344,742384,103.2,2037173,1112282,924891,2026-01-30
588080,科创50ETF易方达,148,8365,218841,114263,104578,91.52,457610,250416,207194,2026-01-30
