合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,114,42009,944738,502298,442440,88.08,1749500,967259,782241,2025-09-08
510300,沪深300ETF,158,77641,1150240,613730,536510,87.42,1465421,700403,765018,2025-09-08
510500,中证500ETF,114,173103,1591201,804619,786582,97.76,1390446,622823,767623,2025-09-08
588000,科创50ETF,132,58059,1331840,791044,540796,68.36,2251764,1216955,1034809,2025-09-08
588080,科创板50ETF,126,11752,283372,170749,112623,65.96,677607,384134,293473,2025-09-08
