合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,176,175323,1951777,1108438,843339,76.08,1714572,724553,990019,2024-10-09
510300,沪深300ETF,162,234451,1804077,981735,822342,83.76,1367515,600656,766859,2024-10-09
510500,中证500ETF,168,287510,1586029,883070,702959,79.6,1082689,466458,616231,2024-10-09
588000,科创50ETF,150,138113,1512036,849888,662148,77.91,1260784,648003,612781,2024-10-09
588080,科创板50ETF,142,45609,532914,234785,298129,126.98,667712,320092,347620,2024-10-09
