合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,50ETF,,,1735591,828035,907556,109.6,1824784,1045919,778865,2020-09-24
510300,300ETF,,,1853960,848495,1005465,118.5,1490211,831305,658906,2020-09-24
