合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,XD50ETF,,,2702218,1638610,1063608,64.91,2337418,1194652,1142766,2022-12-01
510300,300ETF,,,1499169,839016,660153,78.68,1692356,787524,904832,2022-12-01
510500,500ETF,,,428537,235984,192553,81.6,575189,290253,284936,2022-12-01
