合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,100,43561,1016162,502057,514105,102.4,1461715,751991,709724,2025-11-06
510300,沪深300ETF,138,71141,1139248,567675,571573,100.69,1351278,637038,714240,2025-11-06
510500,中证500ETF,110,170185,1488485,763312,725173,95.0,1360667,595023,765644,2025-11-06
588000,科创50ETF,128,59988,1435017,788591,646426,81.97,2250669,1158745,1091924,2025-11-06
588080,科创板50ETF,194,9586,267865,141921,125944,88.74,604222,316083,288139,2025-11-06
