合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,112,101682,1630799,980491,650308,66.32,1427736,730634,697102,2025-08-29
510300,沪深300ETF,158,159026,1754751,968928,785823,81.1,1238166,553404,684762,2025-08-29
510500,中证500ETF,104,280511,1980319,1005774,974545,96.9,1222823,526722,696101,2025-08-29
588000,科创50ETF,130,153127,2201862,1358598,843264,62.07,1904516,960216,944300,2025-08-29
588080,科创板50ETF,124,34737,523392,313404,209988,67.0,548781,282620,266161,2025-08-29
