合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,138,31219,1125022,607157,517865,85.29,1583469,894799,688670,2025-04-18
510300,沪深300ETF,104,44537,1116058,638287,477771,74.85,1392412,802386,590026,2025-04-18
510500,中证500ETF,128,105207,1371533,732624,638909,87.21,1210882,652528,558354,2025-04-18
588000,科创50ETF,108,17736,734362,401436,332926,82.93,1917949,1125200,792749,2025-04-18
588080,科创板50ETF,100,5562,362825,138096,224729,162.73,558576,326693,231883,2025-04-18
