合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,50ETF,,,2752556,1415634,1336922,94.44,2791391,1344144,1447247,2022-06-10
510300,300ETF,,,2679221,1346980,1332241,98.91,2603195,1172960,1430235,2022-06-10
