合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,144,25774,621145,317199,303946,95.82,993382,512163,481219,2025-12-29
510300,沪深300ETF,98,48500,780120,413252,366868,88.78,1058368,550154,508214,2025-12-29
510500,中证500ETF,92,128205,1033125,565666,467459,82.64,1030929,503904,527025,2025-12-29
588000,科创50ETF,104,35986,1005904,643934,361970,56.21,1773153,989793,783360,2025-12-29
588080,科创板50ETF,134,4560,169690,97171,72519,74.63,470598,250708,219890,2025-12-29
