合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,98,34904,1118512,604029,514483,85.18,1635250,885687,749563,2024-07-11
510300,沪深300ETF,96,49741,1172841,636224,536617,84.34,1345207,728751,616456,2024-07-11
510500,中证500ETF,156,115122,1761807,872474,889333,101.93,1228640,648138,580502,2024-07-11
588000,科创50ETF,88,13579,589591,351494,238097,67.74,1152763,772448,380315,2024-07-11
588080,科创板50ETF,88,4988,261116,152914,108202,70.76,520826,326518,194308,2024-07-11
