合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,132,23943,645748,333283,312465,93.75,1441879,825023,616856,2026-03-13
510300,沪深300ETF华泰柏瑞,146,53606,1127302,565479,561823,99.35,1411813,773508,638305,2026-03-13
510500,中证500ETF,160,212158,1848718,731400,1117318,152.76,1404206,636111,768095,2026-03-13
588000,科创50ETF,120,30754,1090922,487980,602942,123.56,2176115,1219949,956166,2026-03-13
588080,科创50ETF易方达,148,4406,163058,83151,79907,96.1,524673,308733,215940,2026-03-13
