合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,130,22698,568288,265443,302845,114.09,1278132,717317,560815,2026-02-11
510300,沪深300ETF华泰柏瑞,166,28634,626155,255665,370490,144.91,1334902,726750,608152,2026-02-11
510500,中证500ETF,188,105761,946609,465692,480917,103.27,1366001,620800,745201,2026-02-11
588000,科创50ETF,124,23945,895436,400945,494491,123.33,2175392,1219285,956107,2026-02-11
588080,科创50ETF易方达,152,3298,116078,70953,45125,63.6,492258,281246,211012,2026-02-11
