合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,158,73386,2313545,1090964,1222581,112.06,2075223,1160735,914488,2024-03-22
510300,沪深300ETF,160,84568,1900928,903967,996961,110.29,1598167,876317,721850,2024-03-22
510500,中证500ETF,124,100535,1463043,620775,842268,135.68,1136444,562708,573736,2024-03-22
588000,科创50ETF,102,15124,687556,350405,337151,96.22,1441976,877984,563992,2024-03-22
588080,科创板50ETF,102,8311,412651,214011,198640,92.82,654538,402625,251913,2024-03-22
