合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,100,38960,1012711,501483,511228,101.94,1493868,860216,633652,2025-11-24
510300,沪深300ETF,140,73555,1325140,632640,692500,109.46,1453548,822591,630957,2025-11-24
510500,中证500ETF,112,162787,1723492,795922,927570,116.54,1490665,771894,718771,2025-11-24
588000,科创50ETF,136,57039,1647180,838235,808945,96.51,2512004,1474013,1037991,2025-11-24
588080,科创板50ETF,210,9775,327511,163144,164367,100.75,670038,394037,276001,2025-11-24
