合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,50ETF,,,2222024,1089380,1132644,103.97,2999506,1775277,1224229,2022-02-14
510300,300ETF,,,2079325,1018740,1060585,104.11,2157011,1184440,972571,2022-02-14
