合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,124,30290,936138,469444,466694,99.41,1440691,762989,677702,2025-06-13
510300,沪深300ETF,94,39587,887328,436698,450630,103.19,1191379,649352,542027,2025-06-13
510500,中证500ETF,116,117003,1528415,701018,827397,118.03,1260551,583227,677324,2025-06-13
588000,科创50ETF,98,12925,544728,282884,261844,92.56,1574138,943482,630656,2025-06-13
588080,科创板50ETF,92,3888,181380,88541,92839,104.85,482442,276779,205663,2025-06-13
