合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,50ETF,,,1838082,1024644,813438,79.39,2484699,1164512,1320187,2022-07-01
510300,300ETF,,,1859175,959874,899301,93.69,2126118,930029,1196089,2022-07-01
