合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,50ETF,,,1786134,856984,929150,108.42,2672254,1362193,1310061,2022-07-07
510300,300ETF,,,1644078,814150,829928,101.94,2228811,990536,1238275,2022-07-07
