合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,108,25705,753735,424852,328883,77.41,2629273,1585516,1043757,2023-09-12
510300,沪深300ETF,94,34890,709261,385204,324057,84.13,2006958,1169289,837669,2023-09-12
510500,中证500ETF,88,20154,295302,150470,144832,96.25,828825,407293,421532,2023-09-12
588000,科创50ETF,96,9359,392272,233753,158519,67.81,1312934,911743,401191,2023-09-12
588080,科创板50ETF,94,4116,153494,83752,69742,83.27,510380,357750,152630,2023-09-12
