合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,176,93846,2236781,1255805,980976,78.12,2066611,1061717,1004894,2024-10-17
510300,沪深300ETF,162,117004,2131950,1110517,1021433,91.98,1639350,855696,783654,2024-10-17
510500,中证500ETF,168,148757,1729297,898953,830344,92.37,1222264,600247,622017,2024-10-17
588000,科创50ETF,150,29926,1177175,616789,560386,90.86,1587505,902188,685317,2024-10-17
588080,科创板50ETF,142,10326,397689,209939,187750,89.43,710947,379669,331278,2024-10-17
