合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,50ETF,,,2146813,1146797,1000016,87.2,2709802,1705283,1004519,2023-06-01
510300,300ETF,,,1235607,648789,586818,90.45,1520719,820417,700302,2023-06-01
510500,500ETF,,,613313,301745,311568,103.26,728427,348252,380175,2023-06-01
