合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,130,20610,674418,343928,330490,96.09,1381532,656042,725490,2025-05-13
510300,沪深300ETF,98,37276,819587,419581,400006,95.33,1193506,606719,586787,2025-05-13
510500,中证500ETF,122,98739,1221655,699210,522445,74.72,1254510,607533,646977,2025-05-13
588000,科创50ETF,100,12183,551744,363653,188091,51.72,1649944,948958,700986,2025-05-13
588080,科创板50ETF,92,2706,128660,86339,42321,49.02,479563,268943,210620,2025-05-13
