合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,50ETF,,,2120991,1164797,956194,82.09,3232646,1981212,1251434,2021-07-07
510300,300ETF,,,1950569,1079870,870699,80.63,1971547,1023889,947658,2021-07-07
