合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,50ETF,,,2651781,1412204,1239577,87.78,2665630,1478270,1187360,2022-11-17
510300,300ETF,,,2049945,1064781,985164,92.52,1976317,1000281,976036,2022-11-17
510500,500ETF,,,734397,377660,356737,94.46,700234,336470,363764,2022-11-17
