合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,206,54793,1562212,832011,730201,87.76,2836202,1853373,982829,2023-12-26
510300,沪深300ETF,110,59711,1215634,622027,593607,95.43,1906686,1238848,667838,2023-12-26
510500,中证500ETF,88,48477,547956,255258,292698,114.67,824057,486487,337570,2023-12-26
588000,科创50ETF,86,10176,419675,242565,177110,73.02,1266771,939021,327750,2023-12-26
588080,科创板50ETF,94,3850,191040,108414,82626,76.21,579145,422301,156844,2023-12-26
