合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF,128,57585,1227792,573864,653928,113.95,1303445,732425,571020,2026-03-04
510300,沪深300ETF华泰柏瑞,144,84042,1366951,644676,722275,112.04,1354767,763211,591556,2026-03-04
510500,中证500ETF,158,253831,1816828,733780,1083048,147.6,1316106,606239,709867,2026-03-04
588000,科创50ETF,120,45256,1266814,624284,642530,102.92,1991998,1108754,883244,2026-03-04
588080,科创50ETF易方达,148,6163,216977,119836,97141,81.06,467062,268231,198831,2026-03-04
