合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,50ETF,,,1075221,626319,448902,71.67,2704833,1612515,1092318,2022-09-08
510300,300ETF,,,913358,449592,463766,103.15,1976201,1035524,940677,2022-09-08
