window,scenario,start,end,years,total_return_pct,annual_pct,vol_pct,sharpe,max_drawdown_pct,ulcer_index_pct,longest_underwater_days,terminal_drawdown_pct
3Y,current_with_Sub-C_20pct,2023-04-27,2026-04-27,3.0006844626967832,132.92990704288167,32.55023320702088,10.288723637637226,2.714820977020545,-7.115765968734056,2.0926231741026124,93,-1.84535102965816
3Y,replace_C_with_short_bond_3pct,2023-04-27,2026-04-27,3.0006844626967832,117.91505298724894,29.639303489354575,8.85609390078123,2.894536204942159,-5.70068572966782,1.6237786875340454,91,-0.9743711974627534
5Y,current_with_Sub-C_20pct,2021-04-27,2026-04-27,4.999315537303217,252.40848846218267,28.654283806529147,8.927668778436828,2.7830104129527027,-6.302552696157937,1.7455955833645806,126,-1.6178076709749356
5Y,replace_C_with_short_bond_3pct,2021-04-27,2026-04-27,4.999315537303217,239.38882582419527,27.689162816998714,8.023040403954122,2.9961355930109903,-4.532920383699867,1.2845344197917168,121,-1.091340884304992
10Y,current_with_Sub-C_20pct,2016-04-27,2026-04-27,9.998631074606434,1218.4719792524259,29.42626710031575,8.864167885510591,2.8711286027455176,-8.473735002288263,1.888301998712495,155,-1.3259141444044387
10Y,replace_C_with_short_bond_3pct,2016-04-27,2026-04-27,9.998631074606434,1172.831382711519,28.971043296282705,8.421063292012049,2.9769779644186896,-6.762903934824582,1.5754257964855216,155,-1.0733121613175078
15Y,current_with_Sub-C_20pct,2011-04-27,2026-04-27,15.000684462696784,4607.067886972771,29.274125650714545,8.356645337216872,3.0252321854592417,-8.574942623088798,1.8568388595353733,190,-2.0277100795256797
15Y,replace_C_with_short_bond_3pct,2011-04-27,2026-04-27,15.000684462696784,4542.421939734548,29.155004009159757,7.973114400017439,3.155583929151049,-7.234528656704365,1.6708565399719952,177,-2.013969875514654
