date,return_net,microcap_nav,microcap_peak,microcap_drawdown,prior_drawdown_for_signal,daily_signal_microcap_weight,month_end_executed_microcap_weight
2010-03-04,-0.003,0.997,0.997,0.0,,0.15,0.15
2010-03-05,0.0082609311168506,1.0052361483235002,1.0052361483235002,0.0,0.0,0.2,0.15
2010-03-08,0.0031862263181334,1.0084390581952276,1.0084390581952276,0.0,0.0,0.2,0.15
2010-03-09,0.0001684497923308,1.008608929545159,1.008608929545159,0.0,0.0,0.2,0.15
2010-03-10,0.0026380909115,1.01126973159545,1.01126973159545,0.0,0.0,0.2,0.15
2010-03-11,0.0085799256304952,1.0199463506849098,1.0199463506849098,0.0,0.0,0.2,0.15
2010-03-12,0.001377006622695,1.0213508235645965,1.0213508235645965,0.0,0.0,0.2,0.15
2010-03-15,-0.0019496359327971,1.019359561298983,1.0213508235645965,-0.001949635932797178,0.0,0.2,0.15
2010-03-16,0.0032669706162411,1.0226897790331313,1.0226897790331313,0.0,-0.001949635932797178,0.2,0.15
2010-03-17,0.0020050039979517,1.0247402761287572,1.0247402761287572,0.0,0.0,0.2,0.15
2010-03-18,0.0021273928991401,1.0269203013156563,1.0269203013156563,0.0,0.0,0.2,0.15
2010-03-19,0.003366826042727,1.030377763329931,1.030377763329931,0.0,0.0,0.2,0.15
2010-03-22,0.0074039607622937,1.0380066398599657,1.0380066398599657,0.0,0.0,0.2,0.15
2010-03-23,0.0012717841866045,1.0393267602901302,1.0393267602901302,0.0,0.0,0.2,0.15
2010-03-24,0.0011500938256436,1.040522083579966,1.040522083579966,0.0,0.0,0.2,0.15
2010-03-25,0.0017101189540456,1.0423015001171991,1.0423015001171991,0.0,0.0,0.2,0.15
2010-03-26,-0.0027245615116274,1.0394616855664685,1.0423015001171991,-0.002724561511627255,0.0,0.2,0.15
2010-03-29,-0.00159264033005,1.0378061969644936,1.0423015001171991,-0.004312862595132083,-0.002724561511627255,0.2,0.15
2010-03-30,0.0037643049973445,1.0417128160180023,1.0423015001171991,-0.0005647925280072297,-0.004312862595132083,0.2,0.15
2010-03-31,0.0038608149722387,1.0457346764548576,1.0457346764548576,0.0,-0.0005647925280072297,0.2,0.2
