case,window,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,defense_days_pct,switch_count
volume_only,last_5y,20,16,2021-04-19,2026-04-17,1211,39.03086631896908,21.008454595015408,1.7349788041496514,-15.707665516652902,2.4848292241510657,418.4114151368981,1.5650492534506668,0.07098726171709879,1.6643352008904984,1.6515276630883566,12
volume_only,last_3y,20,16,2023-04-17,2026-04-17,727,37.13601362646956,21.542097281807564,1.6317646640613384,-15.707665516652902,2.364196868535227,157.9576654340506,2.411864482759114,0.1026907354946538,1.6643352008905339,1.925722145804677,8
volume_plus_stirrer,last_5y,20,16,2021-04-19,2026-04-17,1211,38.35585901026563,21.12194716089828,1.7028238378008551,-15.707665516653012,2.4418561096555926,405.9635224708932,0.8900419447472174,0.03883229536830246,1.6643352008903882,0.5780346820809248,8
volume_plus_stirrer,last_3y,20,16,2023-04-17,2026-04-17,727,36.11803399734459,21.65630142538224,1.5884816625601275,-15.707665516652858,2.2993890440978126,152.25434970883322,1.393884853634141,0.0594077339934429,1.6643352008905783,0.8253094910591471,6
volume_only,last_5y,21,16,2021-04-19,2026-04-17,1211,39.03086631896908,21.008454595015408,1.7349788041496514,-15.707665516652902,2.4848292241510657,418.4114151368981,1.5650492534506668,0.07098726171709879,1.6643352008904984,1.6515276630883566,12
volume_only,last_3y,21,16,2023-04-17,2026-04-17,727,37.13601362646956,21.542097281807564,1.6317646640613384,-15.707665516652902,2.364196868535227,157.9576654340506,2.411864482759114,0.1026907354946538,1.6643352008905339,1.925722145804677,8
volume_plus_stirrer,last_5y,21,16,2021-04-19,2026-04-17,1211,38.35585901026563,21.12194716089828,1.7028238378008551,-15.707665516653012,2.4418561096555926,405.9635224708932,0.8900419447472174,0.03883229536830246,1.6643352008903882,0.5780346820809248,8
volume_plus_stirrer,last_3y,21,16,2023-04-17,2026-04-17,727,36.11803399734459,21.65630142538224,1.5884816625601275,-15.707665516652858,2.2993890440978126,152.25434970883322,1.393884853634141,0.0594077339934429,1.6643352008905783,0.8253094910591471,6
volume_only,last_5y,22,16,2021-04-19,2026-04-17,1211,37.72530448588509,20.803993025418457,1.7028032293740623,-15.70766551665297,2.4017130009478134,394.5524509084126,0.2594874203666748,0.038811686941509604,1.6643352008904309,2.6424442609413705,16
volume_only,last_3y,22,16,2023-04-17,2026-04-17,727,37.14097481373442,21.537569393651594,1.632237370648739,-15.707665516652913,2.3645127135129274,157.98566933826405,2.416825670023968,0.10316344208205441,1.6643352008905232,2.4759284731774414,10
volume_plus_stirrer,last_5y,22,16,2021-04-19,2026-04-17,1211,38.11597166347755,21.043971607024414,1.6997652935299516,-15.707665516652947,2.426584117357718,401.5977617965027,0.650154597959137,0.035773751097399,1.664335200890454,0.9083402146985963,10
volume_plus_stirrer,last_3y,22,16,2023-04-17,2026-04-17,727,36.11803399734459,21.65630142538224,1.5884816625601275,-15.707665516652858,2.2993890440978126,152.25434970883322,1.393884853634141,0.0594077339934429,1.6643352008905783,0.8253094910591471,6
volume_only,last_5y,23,16,2021-04-19,2026-04-17,1211,38.21272140964152,20.780796725733744,1.722160623164303,-15.707665516652881,2.4327435142497356,403.3548907568366,0.7469043441231022,0.05816908073175031,1.6643352008905197,3.137902559867878,16
volume_only,last_3y,23,16,2023-04-17,2026-04-17,727,37.94965785193667,21.500230851143133,1.6631774225822975,-15.707665516652913,2.4159960505718243,162.57750450546266,3.225508708226222,0.13410349401561295,1.6643352008905232,3.3012379642365883,10
volume_plus_stirrer,last_5y,23,16,2021-04-19,2026-04-17,1211,38.11597166347755,21.043971607024414,1.6997652935299516,-15.707665516652947,2.426584117357718,401.5977617965027,0.650154597959137,0.035773751097399,1.664335200890454,0.9083402146985963,10
