window,strategy,start,end,obs,total_return_pct,max_drawdown_pct,ulcer_index_pct,terminal_drawdown_pct
dotcom_peak_to_trough,Sub-B_proxy,2000-03-10,2002-10-09,648,-2.554984588017062,-15.130882833828519,10.5643796577634,-2.554984588017062
dotcom_peak_to_trough,Sub-C_proxy,2000-03-10,2002-10-09,648,-46.911681471987244,-47.8225205940775,27.659274003575913,-47.8225205940775
dotcom_peak_to_trough,B/C_proxy_blend_40_20_norm,2000-03-10,2002-10-09,648,-17.340550216007134,-20.344256494036948,15.287970800638783,-17.505917866935462
dotcom_calendar_2000_2002,Sub-B_proxy,2000-01-03,2002-12-31,752,5.02658418375963,-15.901582168853457,10.674055234745447,-1.0013849566038346
dotcom_calendar_2000_2002,Sub-C_proxy,2000-01-03,2002-12-31,752,-40.24771190206712,-47.822520594077524,28.37676902107284,-43.263982065552476
dotcom_calendar_2000_2002,B/C_proxy_blend_40_20_norm,2000-01-03,2002-12-31,752,-10.06484784484929,-20.460185398234167,15.089683255788202,-13.281305252690313
gfc_peak_to_trough,Sub-B_proxy,2007-10-09,2009-03-09,356,4.074629057540791,-15.428251375203395,7.539321078003571,-8.753347260898458
gfc_peak_to_trough,Sub-C_proxy,2007-10-09,2009-03-09,356,-32.11908836869992,-33.90885466606785,17.09133766810509,-33.90885466606785
gfc_peak_to_trough,B/C_proxy_blend_40_20_norm,2007-10-09,2009-03-09,356,-7.989943417872791,-16.466188264752134,9.279495024359589,-15.411859442951492
gfc_calendar_2007_2009,Sub-B_proxy,2007-01-03,2009-12-31,756,60.73903486770713,-15.428251375203583,6.162623387509592,-2.693762146260481
gfc_calendar_2007_2009,Sub-C_proxy,2007-01-03,2009-12-31,756,7.839444765925752,-33.90885466606773,15.66865181896814,-9.554789313805568
gfc_calendar_2007_2009,B/C_proxy_blend_40_20_norm,2007-01-03,2009-12-31,756,43.10583816711333,-16.113434957418747,7.809629005136073,-2.330279544904179
