date,Sub-B_proxy,Sub-C_proxy
1995-01-04,,0.00242668959362249
1995-01-05,,-0.001303005868103087
1995-01-06,,0.0017177913113824818
1995-01-09,,0.00034726611701654364
1995-01-10,,0.0022655245610003058
1995-01-11,,0.000316443795409539
1995-01-12,,-0.00016155545236454385
1995-01-13,,0.004888630760920001
1995-01-16,,0.003492800320174837
1995-01-17,,0.0014222779171907103
1995-01-18,,0.00032754616935457443
1995-01-19,,-0.0026909160594802708
1995-01-20,,-0.004392097914902663
1995-01-23,,0.0004517206340662707
1995-01-24,,0.0007658178934065903
1995-01-25,,-0.0005741209020423659
1995-01-26,,-0.0004058306760581008
1995-01-27,,0.002331151692203527
1995-01-30,,-0.00437455204038178
1995-01-31,,0.0028568469650840735
1995-02-01,,0.0016921502053405455
1995-02-02,,0.004008236168886233
1995-02-03,,0.007952709722797999
1995-02-06,,0.005102871720634551
1995-02-07,,-0.00047682794768071947
1995-02-08,,0.002503446748242295
1995-02-09,,-8.781404154760398e-05
1995-02-10,,0.002316424752632401
1995-02-13,,-0.0003562530458252499
1995-02-14,,0.0008597626681039786
1995-02-15,,0.003618903352666297
1995-02-16,,-0.0009796280122101033
1995-02-17,,-0.004499516283444614
1995-02-21,,-0.000652194810683282
1995-02-22,,0.0036876876885670656
1995-02-23,,0.002833707428554988
1995-02-24,,-0.0001909913638292188
1995-02-27,,-0.004305523701113219
1995-02-28,,0.005979929045565267
1995-03-01,,-0.00218107119482955
1995-03-02,,-0.0005661716896509172
1995-03-03,,0.0018248991415311922
1995-03-06,,-0.0003483772285842069
1995-03-07,,-0.005151130946574887
1995-03-08,,0.0031570105995829155
1995-03-09,,0.0011540486363293403
1995-03-10,,0.006958730487688805
1995-03-13,,0.0008766398431468536
1995-03-14,,0.005242632363716889
1995-03-15,,-0.0020644588813049478
1995-03-16,,0.0034077249414357857
1995-03-17,,-0.0016121365303074545
1995-03-20,,0.0013164229946886186
1995-03-21,,-0.0010564456735485913
1995-03-22,,0.00016277381236252367
1995-03-23,,0.0006488563116191584
1995-03-24,,0.007685768022807926
1995-03-27,,0.003502619121126806
1995-03-28,,0.0010373342752210187
1995-03-29,,-0.003058727331150561
1995-03-30,,-0.002055325539837798
1995-03-31,,-0.002327448356167761
1995-04-03,,0.0014890056085905335
1995-04-04,,0.00025941961938454375
1995-04-05,,0.0015591447013622985
1995-04-06,,-0.0018868457118341707
1995-04-07,,0.0015137940260564733
1995-04-10,,0.0031418108851369447
1995-04-11,,0.000811649871655936
1995-04-12,,0.0030853718711588494
1995-04-13,,0.002494572166942391
1995-04-17,,-0.0037996640096841375
1995-04-18,,-0.0029087022003230715
1995-04-19,,-0.0035754329773039434
1995-04-20,,0.0015624103062869827
1995-04-21,,0.003778629834121415
1995-04-24,,0.005970678614699222
1995-04-25,,0.00022256581448237768
1995-04-26,,0.002579843262409602
1995-04-27,,0.0013900551160330988
1995-04-28,,0.0013558660404157292
1995-05-01,,-0.0013904143079489365
1995-05-02,,0.0001339769825611317
1995-05-03,,0.00859456425797758
1995-05-04,,-9.926031351026668e-05
1995-05-05,,-0.001215192932852243
1995-05-08,,0.005989918089135003
1995-05-09,,0.0001470308695126993
1995-05-10,,-0.0001895036234638456
1995-05-11,,0.0031350917901773433
1995-05-12,,0.001964509246946042
1995-05-15,,0.003944018220083801
1995-05-16,,0.002968125641194053
1995-05-17,,0.00042605096482488543
1995-05-18,,-0.008274216242223409
1995-05-19,,-9.653672223061308e-05
1995-05-22,,0.005051169319480584
1995-05-23,,0.006813893610061323
1995-05-24,,0.0003129752413020819
1995-05-25,,0.00046184404285280333
1995-05-26,,-0.005720837044503596
1995-05-30,,-0.00473050596354708
1995-05-31,,0.008715402024049952
1995-06-01,,0.0019657850370788247
1995-06-02,,0.000854830164666577
1995-06-05,,0.005781854383040617
1995-06-06,,-0.0019219013046303717
1995-06-07,,-0.0008356205903305351
1995-06-08,,0.000279073309413171
1995-06-09,,-0.004151890320216645
1995-06-12,,0.0021835613209955987
1995-06-13,,0.007053792639254741
1995-06-14,,0.0006374586845949096
1995-06-15,,0.0029715700791328892
1995-06-16,,0.0035399064113179686
1995-06-19,,0.008714516970552677
1995-06-20,,0.0026081365456808604
1995-06-21,,-0.0013059444536979953
1995-06-22,,0.009261424947176102
1995-06-23,,-0.0015799510632347198
1995-06-26,,-0.007695984907404714
1995-06-27,,-0.004145317120051089
1995-06-28,,0.0024068596451868457
1995-06-29,,0.0015508380128602464
1995-06-30,,0.0006004042357245841
1995-07-03,,0.002019595986289128
1995-07-05,,0.001788875199680724
1995-07-06,,0.009032745184403692
1995-07-07,,0.007006177258941122
1995-07-10,,0.0029810482937182655
1995-07-11,,-0.003950723028263162
1995-07-12,,0.009071270766451015
1995-07-13,,0.0012854823095653273
1995-07-14,,0.0008678744094706782
1995-07-17,,0.003699180648431279
1995-07-18,,-0.00950306582540639
1995-07-19,,-0.017093759032804804
1995-07-20,,0.0033895734110658583
1995-07-21,,-0.000942818014185735
1995-07-24,,0.008107251109799596
1995-07-25,,0.006892019696315209
1995-07-26,,0.002061985481074221
1995-07-27,,0.004999265886120543
1995-07-28,,-0.004209359497469487
1995-07-31,,-0.002603188987746554
1995-08-01,,-0.004854458248202701
1995-08-02,,-0.0024393170087262123
1995-08-03,,-0.001299004535623746
