window,strategy,dd_peak_date,dd_trough_date,max_drawdown_pct,total_return_pct
dotcom_peak_to_trough,Sub-B_proxy,2000-03-10,2000-05-23,-15.130882833828519,-2.554984588017062
dotcom_peak_to_trough,Sub-C_proxy,2000-03-24,2002-10-09,-47.8225205940775,-46.911681471987244
dotcom_peak_to_trough,B/C_proxy_blend_40_20_norm,2000-03-27,2001-09-21,-20.344256494036948,-17.340550216007134
dotcom_calendar_2000_2002,Sub-B_proxy,2000-03-07,2000-05-23,-15.901582168853457,5.02658418375963
dotcom_calendar_2000_2002,Sub-C_proxy,2000-03-24,2002-10-09,-47.822520594077524,-40.24771190206712
dotcom_calendar_2000_2002,B/C_proxy_blend_40_20_norm,2000-03-09,2001-09-21,-20.460185398234167,-10.06484784484929
gfc_peak_to_trough,Sub-B_proxy,2008-05-21,2008-09-11,-15.428251375203395,4.074629057540791
gfc_peak_to_trough,Sub-C_proxy,2007-10-31,2009-03-09,-33.90885466606785,-32.11908836869992
gfc_peak_to_trough,B/C_proxy_blend_40_20_norm,2008-05-21,2008-10-27,-16.466188264752134,-7.989943417872791
gfc_calendar_2007_2009,Sub-B_proxy,2008-05-21,2008-09-11,-15.428251375203583,60.73903486770713
gfc_calendar_2007_2009,Sub-C_proxy,2007-10-31,2009-03-09,-33.90885466606773,7.839444765925752
gfc_calendar_2007_2009,B/C_proxy_blend_40_20_norm,2008-05-21,2008-10-27,-16.113434957418747,43.10583816711333
