合约编码,合约交易代码,合约简称,标的券名称及代码,类型,行权价,合约单位,期权行权日,行权交收日,到期日,开始日期,trade_month,side
10011265,510300P2604M04000,300ETF沽4月4000,300ETF(510300),认沽,4.0,10000,2026-04-22,20260423,2026-04-22,2026-03-24,202604,put
10011266,510300P2604M04100,300ETF沽4月4100,300ETF(510300),认沽,4.1,10000,2026-04-22,20260423,2026-04-22,2026-03-24,202604,put
10011210,510300P2604M04200,300ETF沽4月4200,300ETF(510300),认沽,4.2,10000,2026-04-22,20260423,2026-04-22,2026-03-05,202604,put
10011194,510300P2604M04300,300ETF沽4月4300,300ETF(510300),认沽,4.3,10000,2026-04-22,20260423,2026-04-22,2026-02-27,202604,put
10011130,510300P2604M04400,300ETF沽4月4400,300ETF(510300),认沽,4.4,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,put
10011131,510300P2604M04500,300ETF沽4月4500,300ETF(510300),认沽,4.5,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,put
10011132,510300P2604M04600,300ETF沽4月4600,300ETF(510300),认沽,4.6,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,put
10011133,510300P2604M04700,300ETF沽4月4700,300ETF(510300),认沽,4.7,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,put
10011134,510300P2604M04800,300ETF沽4月4800,300ETF(510300),认沽,4.8,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,put
10011135,510300P2604M04900,300ETF沽4月4900,300ETF(510300),认沽,4.9,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,put
10011136,510300P2604M05000,300ETF沽4月5000,300ETF(510300),认沽,5.0,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,put
10011137,510300P2604M05250,300ETF沽4月5250,300ETF(510300),认沽,5.25,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,put
10011138,510300P2604M05500,300ETF沽4月5500,300ETF(510300),认沽,5.5,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,put
10011263,510300C2604M04000,300ETF购4月4000,300ETF(510300),认购,4.0,10000,2026-04-22,20260423,2026-04-22,2026-03-24,202604,call
10011264,510300C2604M04100,300ETF购4月4100,300ETF(510300),认购,4.1,10000,2026-04-22,20260423,2026-04-22,2026-03-24,202604,call
10011209,510300C2604M04200,300ETF购4月4200,300ETF(510300),认购,4.2,10000,2026-04-22,20260423,2026-04-22,2026-03-05,202604,call
10011193,510300C2604M04300,300ETF购4月4300,300ETF(510300),认购,4.3,10000,2026-04-22,20260423,2026-04-22,2026-02-27,202604,call
10011121,510300C2604M04400,300ETF购4月4400,300ETF(510300),认购,4.4,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,call
10011122,510300C2604M04500,300ETF购4月4500,300ETF(510300),认购,4.5,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,call
10011123,510300C2604M04600,300ETF购4月4600,300ETF(510300),认购,4.6,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,call
10011124,510300C2604M04700,300ETF购4月4700,300ETF(510300),认购,4.7,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,call
10011125,510300C2604M04800,300ETF购4月4800,300ETF(510300),认购,4.8,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,call
10011126,510300C2604M04900,300ETF购4月4900,300ETF(510300),认购,4.9,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,call
10011127,510300C2604M05000,300ETF购4月5000,300ETF(510300),认购,5.0,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,call
10011128,510300C2604M05250,300ETF购4月5250,300ETF(510300),认购,5.25,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,call
10011129,510300C2604M05500,300ETF购4月5500,300ETF(510300),认购,5.5,10000,2026-04-22,20260423,2026-04-22,2026-02-26,202604,call
10011318,510300P2605M04100,300ETF沽5月4100,300ETF(510300),认沽,4.1,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,put
10011319,510300P2605M04200,300ETF沽5月4200,300ETF(510300),认沽,4.2,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,put
10011320,510300P2605M04300,300ETF沽5月4300,300ETF(510300),认沽,4.3,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,put
10011321,510300P2605M04400,300ETF沽5月4400,300ETF(510300),认沽,4.4,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,put
10011322,510300P2605M04500,300ETF沽5月4500,300ETF(510300),认沽,4.5,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,put
10011323,510300P2605M04600,300ETF沽5月4600,300ETF(510300),认沽,4.6,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,put
10011324,510300P2605M04700,300ETF沽5月4700,300ETF(510300),认沽,4.7,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,put
10011325,510300P2605M04800,300ETF沽5月4800,300ETF(510300),认沽,4.8,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,put
10011326,510300P2605M04900,300ETF沽5月4900,300ETF(510300),认沽,4.9,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,put
10011309,510300C2605M04100,300ETF购5月4100,300ETF(510300),认购,4.1,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,call
10011310,510300C2605M04200,300ETF购5月4200,300ETF(510300),认购,4.2,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,call
10011311,510300C2605M04300,300ETF购5月4300,300ETF(510300),认购,4.3,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,call
10011312,510300C2605M04400,300ETF购5月4400,300ETF(510300),认购,4.4,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,call
10011313,510300C2605M04500,300ETF购5月4500,300ETF(510300),认购,4.5,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,call
10011314,510300C2605M04600,300ETF购5月4600,300ETF(510300),认购,4.6,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,call
10011315,510300C2605M04700,300ETF购5月4700,300ETF(510300),认购,4.7,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,call
10011316,510300C2605M04800,300ETF购5月4800,300ETF(510300),认购,4.8,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,call
10011317,510300C2605M04900,300ETF购5月4900,300ETF(510300),认购,4.9,10000,2026-05-27,20260528,2026-05-27,2026-03-26,202605,call
10011269,510300P2606M04000,300ETF沽6月4000,300ETF(510300),认沽,4.0,10000,2026-06-24,20260625,2026-06-24,2026-03-24,202606,put
10010426,510300P2606A04200,300ETF沽6月4094A,300ETF(510300),认沽,4.094,10260,2026-06-24,20260625,2026-06-24,2025-11-24,202606,put
10011270,510300P2606M04100,300ETF沽6月4100,300ETF(510300),认沽,4.1,10000,2026-06-24,20260625,2026-06-24,2026-03-24,202606,put
10010322,510300P2606A04300,300ETF沽6月4191A,300ETF(510300),认沽,4.191,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,put
10011082,510300P2606M04200,300ETF沽6月4200,300ETF(510300),认沽,4.2,10000,2026-06-24,20260625,2026-06-24,2026-02-03,202606,put
10010323,510300P2606A04400,300ETF沽6月4288A,300ETF(510300),认沽,4.288,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,put
10010930,510300P2606M04300,300ETF沽6月4300,300ETF(510300),认沽,4.3,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,put
10010324,510300P2606A04500,300ETF沽6月4386A,300ETF(510300),认沽,4.386,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,put
10010931,510300P2606M04400,300ETF沽6月4400,300ETF(510300),认沽,4.4,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,put
10010325,510300P2606A04600,300ETF沽6月4483A,300ETF(510300),认沽,4.483,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,put
10010932,510300P2606M04500,300ETF沽6月4500,300ETF(510300),认沽,4.5,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,put
10010326,510300P2606A04700,300ETF沽6月4581A,300ETF(510300),认沽,4.581,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,put
10010933,510300P2606M04600,300ETF沽6月4600,300ETF(510300),认沽,4.6,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,put
10010327,510300P2606A04800,300ETF沽6月4678A,300ETF(510300),认沽,4.678,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,put
10010934,510300P2606M04700,300ETF沽6月4700,300ETF(510300),认沽,4.7,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,put
10010328,510300P2606A04900,300ETF沽6月4776A,300ETF(510300),认沽,4.776,10260,2026-06-24,20260625,2026-06-24,2025-10-23,202606,put
10010935,510300P2606M04800,300ETF沽6月4800,300ETF(510300),认沽,4.8,10000,2026-06-24,20260625,2026-06-24,2026-01-19,202606,put
