trade_id,strategy,symbol,name,entry_date,exit_date,entry_price,exit_price,side,is_open_trade,profit_pct,mfe_pct,mae_pct,profit_capture,giveback_pct,max_high,min_low,best_date,worst_date,bar_count,holding_calendar_days,had_profit_then_loss,deep_mae_profit
181,Sub-A,0.399606,创业板,2020-01-20,2020-02-04,2091.182,1986.226,long,False,-0.050189796966500166,0.005914358482427939,-0.09403916062781714,-8.48609314359593,0.056104155448928106,2103.55,1894.529,2020-01-22,2020-02-03,6,15,True,False
100,Sub-A,0.399606,创业板,2016-02-24,2016-02-26,2271.782,2077.131,long,False,-0.08568207688941998,0.0,-0.08568207688941998,,0.08568207688941998,2271.782,2077.131,2016-02-24,2016-02-26,3,2,False,False
156,Sub-A,1.H00016,上证50,2018-09-28,2018-10-12,3596.31,3372.07,long,False,-0.062352800509410944,0.0,-0.08292666649982905,,0.062352800509410944,3596.31,3298.08,2018-09-28,2018-10-11,6,14,False,False
57,Sub-A,0.399606,创业板,2013-11-29,2013-12-03,1399.316,1285.16,long,False,-0.08157985758756414,0.0,-0.08260392934833871,,0.08157985758756414,1399.316,1283.727,2013-11-29,2013-12-02,3,4,False,False
222,Sub-A,1.H00852,中证1000,2022-02-28,2022-03-08,8130.54,7529.38,long,False,-0.07393850838935667,0.0012963468601101535,-0.07393850838935667,-57.03605313092975,0.07523485524946683,8141.08,7529.38,2022-03-01,2022-03-08,7,8,True,False
191,Sub-A,1.H00016,上证50,2020-07-08,2020-07-21,4929.23,4760.88,long,False,-0.03415340732731065,0.0035198195255650155,-0.07082444925475173,-9.703170028817942,0.03767322685287566,4946.58,4580.12,2020-07-09,2020-07-16,10,13,True,False
47,Sub-A,1.H00905,中证500,2013-05-30,2013-06-07,4090.46,3831.29,long,False,-0.06335962214518664,0.0,-0.06335962214518664,,0.06335962214518664,4090.46,3831.29,2013-05-30,2013-06-07,7,8,False,False
101,Sub-A,1.H00852,中证1000,2016-02-26,2016-02-29,8014.07,7509.04,long,False,-0.0630179172380575,0.0,-0.0630179172380575,,0.0630179172380575,8014.07,7509.04,2016-02-26,2016-02-29,2,3,False,False
106,Sub-A,0.399606,创业板,2016-06-02,2016-06-14,2261.621,2127.308,long,False,-0.059387934583203905,0.0075565269335577945,-0.06108715828160416,-7.85915740198952,0.0669444615167617,2278.711,2123.465,2016-06-03,2016-06-13,7,12,True,False
213,Sub-A,1.H00852,中证1000,2021-07-21,2021-07-28,8100.01,7606.48,long,False,-0.060929554407957554,0.00653455983387663,-0.060929554407957554,-9.324201775930648,0.06746411424183418,8152.94,7606.48,2021-07-22,2021-07-28,6,7,True,False
92,Sub-A,1.H00905,中证500,2015-07-29,2015-08-04,8676.16,8589.56,long,False,-0.009981374248515529,0.0,-0.06009686312838858,,0.009981374248515529,8676.16,8154.75,2015-07-29,2015-08-03,5,6,False,False
200,Sub-A,0.399606,创业板,2020-10-14,2020-10-26,2932.647,2777.221,long,False,-0.05299853681673927,0.0,-0.05911246733752806,,0.05299853681673927,2932.647,2759.291,2020-10-14,2020-10-23,9,12,False,False
184,Sub-A,1.H00852,中证1000,2020-02-26,2020-03-05,6697.39,6798.57,long,False,0.015107377650099396,0.015107377650099396,-0.0563936100480934,1.0,0.0,6798.57,6319.7,2020-03-05,2020-02-28,7,8,False,False
269,Sub-A,1.H20955,中证红利,2025-03-19,2025-04-07,21390.8,20310.71,long,False,-0.05049320268526658,0.012579707163827392,-0.05049320268526658,-4.013861533316008,0.06307290984909397,21659.89,20310.71,2025-04-03,2025-04-07,13,19,True,False
151,Sub-A,1.H00016,上证50,2018-07-25,2018-08-02,3522.07,3354.67,long,False,-0.047528867966849075,0.0,-0.047528867966849075,,0.047528867966849075,3522.07,3354.67,2018-07-25,2018-08-02,7,8,False,False
103,Sub-A,0.399606,创业板,2016-03-23,2016-04-08,2329.306,2299.852,long,False,-0.0126449680720353,0.017032970335370434,-0.047146660850914346,-0.7423818525519845,0.029677938407405735,2368.981,2219.487,2016-04-06,2016-03-29,12,16,True,False
193,Sub-A,1.H00852,中证1000,2020-07-23,2020-07-27,7726.77,7365.49,long,False,-0.04675692430342826,0.0,-0.04703776610407717,,0.04675692430342826,7726.77,7363.32,2020-07-23,2020-07-24,3,4,False,False
53,Sub-A,1.H00016,上证50,2013-09-23,2013-09-27,2055.01,1966.32,long,False,-0.04315794083727098,0.0,-0.04692921202329925,,0.04315794083727098,2055.01,1958.57,2013-09-23,2013-09-26,5,4,False,False
10,Sub-A,1.H20955,中证红利,2011-04-22,2011-04-28,5907.49,5632.07,long,False,-0.04662216948314768,0.0,-0.04662216948314768,,0.04662216948314768,5907.49,5632.07,2011-04-22,2011-04-28,5,6,False,False
284,Sub-A,1.H20955,中证红利,2026-03-12,2026-03-23,23813.36,22716.44,long,False,-0.046063218294268515,0.0,-0.046063218294268515,,0.046063218294268515,23813.36,22716.44,2026-03-12,2026-03-23,8,11,False,False
