trade_id,strategy,symbol,name,entry_date,exit_date,entry_price,exit_price,side,is_open_trade
1,Sub-A,1.H00016,上证50,2010-10-14,2010-11-02,2396.44,2475.03,long,False
2,Sub-A,0.399606,创业板,2010-11-02,2010-11-19,1076.272,1154.373,long,False
3,Sub-A,1.H11077,10Y国债,2010-12-08,2010-12-09,99.35,99.05,long,False
4,Sub-A,1.H11077,10Y国债,2010-12-10,2010-12-29,99.19,99.08,long,False
5,Sub-A,1.H20955,中证红利,2011-02-15,2011-02-16,5506.1,5545.4,long,False
6,Sub-A,1.H00905,中证500,2011-02-17,2011-03-09,5188.23,5390.06,long,False
7,Sub-A,1.H00852,中证1000,2011-03-21,2011-03-25,5495.42,5610.83,long,False
8,Sub-A,1.H11077,10Y国债,2011-03-31,2011-04-01,100.27,100.3,long,False
9,Sub-A,1.H00016,上证50,2011-04-07,2011-04-21,2411.49,2396.85,long,False
10,Sub-A,1.H20955,中证红利,2011-04-22,2011-04-28,5907.49,5632.07,long,False
11,Sub-A,1.H11077,10Y国债,2011-04-28,2011-05-06,100.86,101.3,long,False
12,Sub-A,1.H11077,10Y国债,2011-05-09,2011-05-23,101.34,101.44,long,False
13,Sub-A,0.399606,创业板,2011-06-13,2011-06-28,834.975,850.097,long,False
14,Sub-A,0.399606,创业板,2011-07-06,2011-07-27,900.648,922.251,long,False
15,Sub-A,1.H11077,10Y国债,2011-08-15,2011-08-29,101.21,100.07,long,False
16,Sub-A,1.H11077,10Y国债,2011-09-26,2011-10-25,102.21,102.96,long,False
17,Sub-A,1.H00016,上证50,2011-10-28,2011-11-04,2038.53,2066.39,long,False
18,Sub-A,0.399606,创业板,2011-11-04,2011-11-23,889.014,871.439,long,False
19,Sub-A,1.H11077,10Y国债,2011-12-07,2011-12-19,106.12,106.26,long,False
20,Sub-A,1.H00016,上证50,2012-01-13,2012-02-07,1902.02,1954.04,long,False
21,Sub-A,1.H00852,中证1000,2012-02-08,2012-02-20,3673.14,3855.7,long,False
22,Sub-A,0.399606,创业板,2012-02-20,2012-03-08,726.626,767.738,long,False
23,Sub-A,1.H11077,10Y国债,2012-03-28,2012-04-20,106.73,106.85,long,False
24,Sub-A,1.H00016,上证50,2012-04-23,2012-05-14,2030.63,2034.15,long,False
25,Sub-A,1.H11077,10Y国债,2012-05-16,2012-05-17,108.8,108.31,long,False
26,Sub-A,0.399606,创业板,2012-05-22,2012-05-24,724.809,722.822,long,False
27,Sub-A,1.H11077,10Y国债,2012-05-28,2012-06-04,108.84,108.88,long,False
28,Sub-A,0.399606,创业板,2012-06-12,2012-06-26,747.461,728.253,long,False
29,Sub-A,1.H11077,10Y国债,2012-07-06,2012-07-23,109.81,109.99,long,False
30,Sub-A,1.H00016,上证50,2012-08-06,2012-08-07,1917.43,1916.9,long,False
31,Sub-A,0.399606,创业板,2012-08-10,2012-08-16,755.98,736.097,long,False
32,Sub-A,1.H00852,中证1000,2012-08-21,2012-08-27,3651.31,3492.38,long,False
33,Sub-A,1.H00016,上证50,2012-10-17,2012-10-26,1876.78,1838.54,long,False
34,Sub-A,1.H20955,中证红利,2012-10-26,2012-10-30,4266.25,4263.51,long,False
35,Sub-A,1.H11077,10Y国债,2012-11-13,2012-11-15,108.83,108.9,long,False
36,Sub-A,1.H11077,10Y国债,2012-11-21,2012-12-07,109.51,109.3,long,False
37,Sub-A,1.H00016,上证50,2012-12-11,2012-12-24,1908.51,2026.18,long,False
38,Sub-A,1.H00852,中证1000,2012-12-24,2012-12-28,3338.37,3477.17,long,False
39,Sub-A,0.399606,创业板,2012-12-28,2013-01-28,719.985,798.419,long,False
40,Sub-A,1.H00016,上证50,2013-02-04,2013-02-20,2396.23,2295.19,long,False
41,Sub-A,1.H00905,中证500,2013-02-20,2013-02-21,3835.42,3756.23,long,False
42,Sub-A,0.399606,创业板,2013-02-21,2013-03-12,853.906,854.53,long,False
43,Sub-A,1.H11077,10Y国债,2013-03-12,2013-03-15,110.18,110.17,long,False
44,Sub-A,1.H11077,10Y国债,2013-04-02,2013-04-26,110.65,111.73,long,False
45,Sub-A,0.399606,创业板,2013-04-26,2013-05-24,906.284,1096.303,long,False
46,Sub-A,1.H00852,中证1000,2013-05-24,2013-05-30,4292.18,4367.23,long,False
47,Sub-A,1.H00905,中证500,2013-05-30,2013-06-07,4090.46,3831.29,long,False
48,Sub-A,1.H00016,上证50,2013-07-19,2013-07-22,1799.76,1806.04,long,False
49,Sub-A,1.H00905,中证500,2013-07-22,2013-07-29,3684.18,3648.02,long,False
50,Sub-A,1.H00852,中证1000,2013-07-29,2013-08-09,4040.95,4261.61,long,False
51,Sub-A,1.H00016,上证50,2013-08-14,2013-08-30,1926.56,1902.77,long,False
52,Sub-A,1.H20955,中证红利,2013-08-30,2013-09-23,4741.26,5080.81,long,False
53,Sub-A,1.H00016,上证50,2013-09-23,2013-09-27,2055.01,1966.32,long,False
54,Sub-A,0.399606,创业板,2013-09-30,2013-10-21,1400.419,1434.259,long,False
55,Sub-A,1.H00905,中证500,2013-10-22,2013-10-23,4290.3,4181.41,long,False
56,Sub-A,1.H00852,中证1000,2013-11-25,2013-11-29,4635.41,4811.31,long,False
57,Sub-A,0.399606,创业板,2013-11-29,2013-12-03,1399.316,1285.16,long,False
58,Sub-A,1.H00852,中证1000,2013-12-03,2013-12-05,4587.91,4597.51,long,False
59,Sub-A,1.H00905,中证500,2013-12-05,2013-12-12,4186.43,4173.9,long,False
60,Sub-A,0.399606,创业板,2013-12-27,2014-02-11,1325.059,1563.442,long,False
61,Sub-A,1.H00905,中证500,2014-02-11,2014-02-26,4348.08,4249.09,long,False
62,Sub-A,1.H11077,10Y国债,2014-03-05,2014-03-19,107.29,107.78,long,False
63,Sub-A,1.H00016,上证50,2014-03-20,2014-03-24,1687.78,1772.49,long,False
64,Sub-A,1.H00016,上证50,2014-04-02,2014-04-22,1789.01,1810.9,long,False
65,Sub-A,1.H11077,10Y国债,2014-04-28,2014-05-22,108.84,110.39,long,False
66,Sub-A,0.399606,创业板,2014-06-04,2014-06-23,1357.737,1399.331,long,False
67,Sub-A,0.399606,创业板,2014-06-26,2014-07-02,1425.019,1459.703,long,False
68,Sub-A,1.H00852,中证1000,2014-07-02,2014-07-15,5148.05,5200.22,long,False
69,Sub-A,1.H00905,中证500,2014-07-15,2014-07-23,4401.71,4364.13,long,False
70,Sub-A,1.H20955,中证红利,2014-07-23,2014-07-30,5232.31,5464.92,long,False
71,Sub-A,1.H00016,上证50,2014-07-30,2014-08-14,1985.14,1979.82,long,False
72,Sub-A,0.399606,创业板,2014-08-14,2014-08-29,1419.667,1465.112,long,False
73,Sub-A,1.H00852,中证1000,2014-09-24,2014-09-26,6237.31,6269.98,long,False
74,Sub-A,1.H11077,10Y国债,2014-09-26,2014-11-06,113.44,117.39,long,False
75,Sub-A,1.H20955,中证红利,2014-11-06,2014-11-14,6302.84,6417.73,long,False
76,Sub-A,1.H00016,上证50,2014-11-14,2014-12-25,2147.3,2930.87,long,False
77,Sub-A,1.H20955,中证红利,2014-12-29,2015-01-07,8589.32,9066.45,long,False
78,Sub-A,1.H00016,上证50,2015-01-07,2015-01-13,3273.15,3141.28,long,False
79,Sub-A,1.H11077,10Y国债,2015-01-13,2015-01-16,117.95,118.94,long,False
80,Sub-A,0.399606,创业板,2015-01-19,2015-02-05,1676.928,1825.323,long,False
81,Sub-A,1.H00852,中证1000,2015-02-05,2015-02-11,6936.19,6927.25,long,False
82,Sub-A,0.399606,创业板,2015-02-17,2015-03-09,1948.767,2051.728,long,False
83,Sub-A,1.H00852,中证1000,2015-03-09,2015-04-08,7766.7,9857.31,long,False
84,Sub-A,1.H20955,中证红利,2015-04-08,2015-04-16,10411.15,10851.74,long,False
85,Sub-A,1.H00016,上证50,2015-04-16,2015-05-05,3955.97,3914.25,long,False
86,Sub-A,1.H11077,10Y国债,2015-05-06,2015-05-08,120.39,120.2,long,False
87,Sub-A,0.399606,创业板,2015-05-08,2015-05-12,3061.932,3346.918,long,False
88,Sub-A,0.399606,创业板,2015-05-15,2015-05-21,3238.91,3632.805,long,False
89,Sub-A,1.H00852,中证1000,2015-05-29,2015-06-02,13594.86,14898.91,long,False
90,Sub-A,1.H20955,中证红利,2015-06-09,2015-06-17,13840.5,14022.59,long,False
91,Sub-A,1.H11077,10Y国债,2015-06-25,2015-07-21,120.48,121.46,long,False
92,Sub-A,1.H00905,中证500,2015-07-29,2015-08-04,8676.16,8589.56,long,False
93,Sub-A,1.H11077,10Y国债,2015-08-28,2015-09-14,122.74,123.41,long,False
94,Sub-A,1.H00016,上证50,2015-09-22,2015-09-23,2836.54,2762.72,long,False
95,Sub-A,0.399606,创业板,2015-09-29,2015-11-04,2163.359,2664.107,long,False
96,Sub-A,1.H00852,中证1000,2015-11-18,2015-12-02,10378.3,10266.92,long,False
97,Sub-A,1.H11077,10Y国债,2015-12-04,2015-12-23,126.64,128.1,long,False
98,Sub-A,1.H20955,中证红利,2015-12-23,2015-12-29,11465.71,11256.15,long,False
99,Sub-A,1.H11077,10Y国债,2015-12-29,2016-01-18,128.91,129.21,long,False
100,Sub-A,0.399606,创业板,2016-02-24,2016-02-26,2271.782,2077.131,long,False
101,Sub-A,1.H00852,中证1000,2016-02-26,2016-02-29,8014.07,7509.04,long,False
102,Sub-A,1.H00016,上证50,2016-03-07,2016-03-22,2676.17,2759.44,long,False
103,Sub-A,0.399606,创业板,2016-03-23,2016-04-08,2329.306,2299.852,long,False
104,Sub-A,1.H00852,中证1000,2016-04-08,2016-04-18,8869.89,9112.5,long,False
105,Sub-A,1.H11077,10Y国债,2016-05-11,2016-05-25,129.81,129.67,long,False
106,Sub-A,0.399606,创业板,2016-06-02,2016-06-14,2261.621,2127.308,long,False
107,Sub-A,1.H00852,中证1000,2016-06-14,2016-06-30,8421.86,9165.88,long,False
108,Sub-A,1.H00852,中证1000,2016-07-05,2016-07-11,9348.86,9308.22,long,False
109,Sub-A,0.399606,创业板,2016-07-11,2016-07-14,2294.56,2371.601,long,False
110,Sub-A,1.H00905,中证500,2016-07-14,2016-07-26,7031.36,7077.16,long,False
111,Sub-A,1.H20955,中证红利,2016-07-27,2016-08-02,10682.75,10731.42,long,False
112,Sub-A,1.H11077,10Y国债,2016-08-03,2016-08-15,131.78,133.0,long,False
113,Sub-A,1.H20955,中证红利,2016-08-15,2016-08-16,11248.6,11166.39,long,False
114,Sub-A,1.H00016,上证50,2016-08-16,2016-08-26,2942.2,2895.19,long,False
115,Sub-A,0.399606,创业板,2016-08-26,2016-09-02,2265.009,2245.468,long,False
116,Sub-A,1.H11077,10Y国债,2016-09-28,2016-10-13,132.76,133.26,long,False
117,Sub-A,1.H00852,中证1000,2016-10-18,2016-11-02,9409.58,9388.86,long,False
118,Sub-A,1.H00016,上证50,2016-11-02,2016-11-15,2933.23,3019.68,long,False
119,Sub-A,1.H00016,上证50,2016-11-24,2016-12-09,3095.25,3150.89,long,False
120,Sub-A,1.H00852,中证1000,2017-01-09,2017-01-11,9081.84,8941.21,long,False
121,Sub-A,1.H11077,10Y国债,2017-01-12,2017-01-16,130.1,130.09,long,False
122,Sub-A,1.H20955,中证红利,2017-01-18,2017-02-07,11742.92,11859.88,long,False
123,Sub-A,1.H00852,中证1000,2017-02-15,2017-03-03,8756.74,8926.1,long,False
124,Sub-A,0.399606,创业板,2017-03-03,2017-03-23,1995.075,2016.171,long,False
125,Sub-A,1.H11077,10Y国债,2017-03-30,2017-04-07,130.26,130.09,long,False
126,Sub-A,1.H20955,中证红利,2017-04-07,2017-04-19,12624.35,12477.14,long,False
127,Sub-A,1.H00016,上证50,2017-05-22,2017-06-16,3116.38,3231.81,long,False
128,Sub-A,1.H00852,中证1000,2017-06-20,2017-07-13,7901.21,7880.22,long,False
129,Sub-A,1.H00016,上证50,2017-07-18,2017-08-01,3497.96,3579.62,long,False
130,Sub-A,1.H00905,中证500,2017-08-04,2017-08-10,6838.39,6909.02,long,False
131,Sub-A,0.399606,创业板,2017-08-10,2017-09-11,1826.54,1975.235,long,False
132,Sub-A,1.H00852,中证1000,2017-09-18,2017-09-25,8380.33,8159.02,long,False
133,Sub-A,1.H11077,10Y国债,2017-09-26,2017-10-13,128.81,128.74,long,False
134,Sub-A,1.H00016,上证50,2017-10-18,2017-12-01,3690.7,3810.24,long,False
135,Sub-A,1.H11077,10Y国债,2017-12-08,2017-12-19,127.2,127.18,long,False
136,Sub-A,1.H00905,中证500,2018-01-08,2018-01-17,7084.38,6887.97,long,False
137,Sub-A,1.H20955,中证红利,2018-01-17,2018-01-22,13703.34,13940.42,long,False
138,Sub-A,1.H00016,上证50,2018-01-22,2018-01-30,4196.53,4129.42,long,False
139,Sub-A,1.H20955,中证红利,2018-01-30,2018-02-06,13975.51,13593.06,long,False
140,Sub-A,1.H11077,10Y国债,2018-02-08,2018-03-01,127.65,128.43,long,False
141,Sub-A,0.399606,创业板,2018-03-06,2018-03-22,1872.411,1892.845,long,False
142,Sub-A,1.H11077,10Y国债,2018-03-28,2018-04-02,129.72,129.76,long,False
143,Sub-A,1.H11077,10Y国债,2018-04-04,2018-04-12,129.77,130.1,long,False
144,Sub-A,1.H11077,10Y国债,2018-04-24,2018-05-03,131.74,131.47,long,False
145,Sub-A,1.H00016,上证50,2018-05-03,2018-05-08,3572.71,3651.71,long,False
146,Sub-A,1.H00016,上证50,2018-05-15,2018-05-23,3689.2,3599.16,long,False
147,Sub-A,1.H20955,中证红利,2018-05-25,2018-05-28,12784.26,12748.14,long,False
148,Sub-A,1.H20955,中证红利,2018-05-29,2018-05-30,12693.24,12425.18,long,False
149,Sub-A,1.H11077,10Y国债,2018-06-28,2018-07-11,133.19,133.54,long,False
150,Sub-A,0.399606,创业板,2018-07-16,2018-07-25,1693.403,1709.726,long,False
151,Sub-A,1.H00016,上证50,2018-07-25,2018-08-02,3522.07,3354.67,long,False
152,Sub-A,1.H20955,中证红利,2018-08-02,2018-08-06,11621.37,11478.08,long,False
153,Sub-A,1.H00905,中证500,2018-08-24,2018-08-28,5392.48,5528.52,long,False
154,Sub-A,1.H00852,中证1000,2018-09-12,2018-09-14,5238.35,5225.77,long,False
155,Sub-A,1.H20955,中证红利,2018-09-17,2018-09-19,11280.52,11507.19,long,False
156,Sub-A,1.H00016,上证50,2018-09-28,2018-10-12,3596.31,3372.07,long,False
157,Sub-A,1.H11077,10Y国债,2018-10-16,2018-11-01,134.19,135.15,long,False
158,Sub-A,0.399606,创业板,2018-11-07,2018-11-14,1409.754,1451.619,long,False
159,Sub-A,1.H00852,中证1000,2018-11-14,2018-11-28,5103.37,5036.63,long,False
160,Sub-A,1.H11077,10Y国债,2018-12-10,2018-12-13,137.67,137.71,long,False
161,Sub-A,1.H11077,10Y国债,2019-01-08,2019-01-11,139.35,139.63,long,False
162,Sub-A,1.H00016,上证50,2019-01-18,2019-02-18,3335.88,3564.25,long,False
163,Sub-A,0.399606,创业板,2019-02-18,2019-03-19,1480.812,1790.125,long,False
164,Sub-A,1.H00852,中证1000,2019-03-20,2019-03-26,6312.9,6166.1,long,False
165,Sub-A,1.H11077,10Y国债,2019-03-28,2019-04-03,140.68,139.77,long,False
166,Sub-A,1.H00016,上证50,2019-04-04,2019-04-11,4074.04,4044.64,long,False
167,Sub-A,1.H20955,中证红利,2019-04-11,2019-04-15,14254.36,14188.14,long,False
168,Sub-A,1.H00016,上证50,2019-04-15,2019-04-24,4039.8,4108.75,long,False
169,Sub-A,1.H11077,10Y国债,2019-05-15,2019-06-12,139.29,140.12,long,False
170,Sub-A,1.H00016,上证50,2019-06-14,2019-07-01,3875.84,4203.29,long,False
171,Sub-A,0.399606,创业板,2019-07-01,2019-07-15,1651.506,1630.733,long,False
172,Sub-A,0.399606,创业板,2019-07-30,2019-08-06,1665.547,1589.425,long,False
173,Sub-A,1.H11077,10Y国债,2019-08-09,2019-08-22,142.95,143.06,long,False
174,Sub-A,1.H00852,中证1000,2019-08-28,2019-09-25,5656.23,5834.58,long,False
175,Sub-A,0.399606,创业板,2019-11-01,2019-11-07,1779.771,1809.92,long,False
176,Sub-A,0.399606,创业板,2019-11-08,2019-11-13,1805.32,1774.281,long,False
177,Sub-A,1.H11077,10Y国债,2019-11-19,2019-12-06,143.08,143.35,long,False
178,Sub-A,1.H20955,中证红利,2019-12-06,2019-12-10,12742.49,12780.62,long,False
179,Sub-A,1.H00905,中证500,2019-12-10,2019-12-17,5691.83,5902.75,long,False
180,Sub-A,1.H00852,中证1000,2019-12-17,2020-01-20,5969.02,6409.6,long,False
181,Sub-A,0.399606,创业板,2020-01-20,2020-02-04,2091.182,1986.226,long,False
182,Sub-A,1.H11077,10Y国债,2020-02-05,2020-02-13,147.49,147.77,long,False
183,Sub-A,0.399606,创业板,2020-02-13,2020-02-26,2178.134,2300.625,long,False
184,Sub-A,1.H00852,中证1000,2020-02-26,2020-03-05,6697.39,6798.57,long,False
185,Sub-A,1.H20955,中证红利,2020-03-09,2020-03-12,12411.13,12245.9,long,False
186,Sub-A,1.H11077,10Y国债,2020-03-13,2020-03-20,149.5,148.85,long,False
187,Sub-A,1.H00016,上证50,2020-04-13,2020-05-12,3885.65,4080.94,long,False
188,Sub-A,0.399606,创业板,2020-05-12,2020-05-25,2241.987,2168.252,long,False
189,Sub-A,1.H00852,中证1000,2020-06-10,2020-06-17,6539.7,6684.09,long,False
190,Sub-A,0.399606,创业板,2020-06-17,2020-07-08,2400.124,2812.247,long,False
191,Sub-A,1.H00016,上证50,2020-07-08,2020-07-21,4929.23,4760.88,long,False
192,Sub-A,1.H20955,中证红利,2020-07-21,2020-07-23,13751.74,13595.38,long,False
193,Sub-A,1.H00852,中证1000,2020-07-23,2020-07-27,7726.77,7365.49,long,False
194,Sub-A,1.H11077,10Y国债,2020-07-30,2020-08-06,147.56,147.34,long,False
195,Sub-A,1.H11077,10Y国债,2020-08-12,2020-08-19,147.3,147.46,long,False
196,Sub-A,1.H20955,中证红利,2020-08-19,2020-08-24,14053.29,13986.69,long,False
197,Sub-A,1.H11077,10Y国债,2020-08-31,2020-09-04,146.7,146.46,long,False
