symbol,name,date,open,high,low,close,volume
1.H20955,中证红利,2010-06-01,4761.75,4761.75,4761.75,4761.75,0.0
1.H20955,中证红利,2010-06-02,4775.29,4775.29,4775.29,4775.29,0.0
1.H20955,中证红利,2010-06-03,4748.05,4748.05,4748.05,4748.05,0.0
1.H20955,中证红利,2010-06-04,4764.44,4764.44,4764.44,4764.44,0.0
1.H20955,中证红利,2010-06-07,4718.59,4718.59,4718.59,4718.59,0.0
1.H20955,中证红利,2010-06-08,4737.79,4737.79,4737.79,4737.79,0.0
1.H20955,中证红利,2010-06-09,4847.69,4847.69,4847.69,4847.69,0.0
1.H20955,中证红利,2010-06-10,4832.81,4832.81,4832.81,4832.81,0.0
1.H20955,中证红利,2010-06-11,4822.91,4822.91,4822.91,4822.91,0.0
1.H20955,中证红利,2010-06-17,4775.88,4775.88,4775.88,4775.88,0.0
1.H20955,中证红利,2010-06-18,4664.08,4664.08,4664.08,4664.08,0.0
1.H20955,中证红利,2010-06-21,4791.57,4791.57,4791.57,4791.57,0.0
1.H20955,中证红利,2010-06-22,4808.17,4808.17,4808.17,4808.17,0.0
1.H20955,中证红利,2010-06-23,4780.26,4780.26,4780.26,4780.26,0.0
1.H20955,中证红利,2010-06-24,4779.9,4779.9,4779.9,4779.9,0.0
1.H20955,中证红利,2010-06-25,4740.47,4740.47,4740.47,4740.47,0.0
1.H20955,中证红利,2010-06-28,4706.58,4706.58,4706.58,4706.58,0.0
1.H20955,中证红利,2010-06-29,4507.26,4507.26,4507.26,4507.26,0.0
1.H20955,中证红利,2010-06-30,4468.46,4468.46,4468.46,4468.46,0.0
1.H20955,中证红利,2010-07-01,4426.06,4426.06,4426.06,4426.06,0.0
1.H20955,中证红利,2010-07-02,4424.42,4424.42,4424.42,4424.42,0.0
1.H20955,中证红利,2010-07-05,4404.19,4404.19,4404.19,4404.19,0.0
1.H20955,中证红利,2010-07-06,4494.08,4494.08,4494.08,4494.08,0.0
1.H20955,中证红利,2010-07-07,4518.81,4518.81,4518.81,4518.81,0.0
1.H20955,中证红利,2010-07-08,4507.72,4507.72,4507.72,4507.72,0.0
1.H20955,中证红利,2010-07-09,4609.78,4609.78,4609.78,4609.78,0.0
1.H20955,中证红利,2010-07-12,4654.17,4654.17,4654.17,4654.17,0.0
1.H20955,中证红利,2010-07-13,4574.57,4574.57,4574.57,4574.57,0.0
1.H20955,中证红利,2010-07-14,4623.81,4623.81,4623.81,4623.81,0.0
1.H20955,中证红利,2010-07-15,4536.28,4536.28,4536.28,4536.28,0.0
1.H20955,中证红利,2010-07-16,4553.99,4553.99,4553.99,4553.99,0.0
1.H20955,中证红利,2010-07-19,4642.1,4642.1,4642.1,4642.1,0.0
1.H20955,中证红利,2010-07-20,4748.14,4748.14,4748.14,4748.14,0.0
1.H20955,中证红利,2010-07-21,4780.58,4780.58,4780.58,4780.58,0.0
1.H20955,中证红利,2010-07-22,4826.87,4826.87,4826.87,4826.87,0.0
1.H20955,中证红利,2010-07-23,4826.28,4826.28,4826.28,4826.28,0.0
1.H20955,中证红利,2010-07-26,4867.7,4867.7,4867.7,4867.7,0.0
1.H20955,中证红利,2010-07-27,4862.31,4862.31,4862.31,4862.31,0.0
1.H20955,中证红利,2010-07-28,4964.78,4964.78,4964.78,4964.78,0.0
1.H20955,中证红利,2010-07-29,4987.64,4987.64,4987.64,4987.64,0.0
1.H20955,中证红利,2010-07-30,4983.43,4983.43,4983.43,4983.43,0.0
1.H20955,中证红利,2010-08-02,5071.96,5071.96,5071.96,5071.96,0.0
1.H20955,中证红利,2010-08-03,4980.78,4980.78,4980.78,4980.78,0.0
1.H20955,中证红利,2010-08-04,5005.24,5005.24,5005.24,5005.24,0.0
1.H20955,中证红利,2010-08-05,4998.55,4998.55,4998.55,4998.55,0.0
1.H20955,中证红利,2010-08-06,5098.99,5098.99,5098.99,5098.99,0.0
1.H20955,中证红利,2010-08-09,5136.83,5136.83,5136.83,5136.83,0.0
1.H20955,中证红利,2010-08-10,4977.91,4977.91,4977.91,4977.91,0.0
1.H20955,中证红利,2010-08-11,5009.68,5009.68,5009.68,5009.68,0.0
1.H20955,中证红利,2010-08-12,4953.76,4953.76,4953.76,4953.76,0.0
1.H20955,中证红利,2010-08-13,5021.61,5021.61,5021.61,5021.61,0.0
1.H20955,中证红利,2010-08-16,5135.84,5135.84,5135.84,5135.84,0.0
1.H20955,中证红利,2010-08-17,5162.31,5162.31,5162.31,5162.31,0.0
1.H20955,中证红利,2010-08-18,5167.13,5167.13,5167.13,5167.13,0.0
1.H20955,中证红利,2010-08-19,5181.41,5181.41,5181.41,5181.41,0.0
1.H20955,中证红利,2010-08-20,5107.96,5107.96,5107.96,5107.96,0.0
1.H20955,中证红利,2010-08-23,5144.75,5144.75,5144.75,5144.75,0.0
1.H20955,中证红利,2010-08-24,5206.21,5206.21,5206.21,5206.21,0.0
1.H20955,中证红利,2010-08-25,5083.88,5083.88,5083.88,5083.88,0.0
1.H20955,中证红利,2010-08-26,5097.86,5097.86,5097.86,5097.86,0.0
1.H20955,中证红利,2010-08-27,5115.14,5115.14,5115.14,5115.14,0.0
1.H20955,中证红利,2010-08-30,5211.2,5211.2,5211.2,5211.2,0.0
1.H20955,中证红利,2010-08-31,5200.32,5200.32,5200.32,5200.32,0.0
1.H20955,中证红利,2010-09-01,5164.34,5164.34,5164.34,5164.34,0.0
1.H20955,中证红利,2010-09-02,5216.02,5216.02,5216.02,5216.02,0.0
1.H20955,中证红利,2010-09-03,5214.37,5214.37,5214.37,5214.37,0.0
1.H20955,中证红利,2010-09-06,5270.5,5270.5,5270.5,5270.5,0.0
1.H20955,中证红利,2010-09-07,5289.1,5289.1,5289.1,5289.1,0.0
1.H20955,中证红利,2010-09-08,5285.97,5285.97,5285.97,5285.97,0.0
1.H20955,中证红利,2010-09-09,5220.84,5220.84,5220.84,5220.84,0.0
1.H20955,中证红利,2010-09-10,5267.72,5267.72,5267.72,5267.72,0.0
1.H20955,中证红利,2010-09-13,5325.44,5325.44,5325.44,5325.44,0.0
1.H20955,中证红利,2010-09-14,5313.99,5313.99,5313.99,5313.99,0.0
1.H20955,中证红利,2010-09-15,5227.51,5227.51,5227.51,5227.51,0.0
1.H20955,中证红利,2010-09-16,5121.58,5121.58,5121.58,5121.58,0.0
1.H20955,中证红利,2010-09-17,5114.52,5114.52,5114.52,5114.52,0.0
1.H20955,中证红利,2010-09-20,5063.16,5063.16,5063.16,5063.16,0.0
1.H20955,中证红利,2010-09-21,5082.82,5082.82,5082.82,5082.82,0.0
1.H20955,中证红利,2010-09-27,5174.23,5174.23,5174.23,5174.23,0.0
1.H20955,中证红利,2010-09-28,5112.94,5112.94,5112.94,5112.94,0.0
1.H20955,中证红利,2010-09-29,5077.51,5077.51,5077.51,5077.51,0.0
1.H20955,中证红利,2010-09-30,5154.48,5154.48,5154.48,5154.48,0.0
1.H20955,中证红利,2010-10-08,5272.01,5272.01,5272.01,5272.01,0.0
1.H20955,中证红利,2010-10-11,5417.73,5417.73,5417.73,5417.73,0.0
1.H20955,中证红利,2010-10-12,5440.8,5440.8,5440.8,5440.8,0.0
1.H20955,中证红利,2010-10-13,5478.13,5478.13,5478.13,5478.13,0.0
1.H20955,中证红利,2010-10-14,5438.35,5438.35,5438.35,5438.35,0.0
1.H20955,中证红利,2010-10-15,5564.76,5564.76,5564.76,5564.76,0.0
1.H20955,中证红利,2010-10-18,5625.44,5625.44,5625.44,5625.44,0.0
1.H20955,中证红利,2010-10-19,5668.4,5668.4,5668.4,5668.4,0.0
1.H20955,中证红利,2010-10-20,5623.71,5623.71,5623.71,5623.71,0.0
1.H20955,中证红利,2010-10-21,5622.65,5622.65,5622.65,5622.65,0.0
1.H20955,中证红利,2010-10-22,5605.02,5605.02,5605.02,5605.02,0.0
1.H20955,中证红利,2010-10-25,5726.21,5726.21,5726.21,5726.21,0.0
1.H20955,中证红利,2010-10-26,5714.18,5714.18,5714.18,5714.18,0.0
1.H20955,中证红利,2010-10-27,5670.11,5670.11,5670.11,5670.11,0.0
1.H20955,中证红利,2010-10-28,5662.67,5662.67,5662.67,5662.67,0.0
1.H20955,中证红利,2010-10-29,5649.74,5649.74,5649.74,5649.74,0.0
1.H20955,中证红利,2010-11-01,5768.88,5768.88,5768.88,5768.88,0.0
1.H20955,中证红利,2010-11-02,5783.21,5783.21,5783.21,5783.21,0.0
1.H20955,中证红利,2010-11-03,5739.45,5739.45,5739.45,5739.45,0.0
1.H20955,中证红利,2010-11-04,5823.2,5823.2,5823.2,5823.2,0.0
1.H20955,中证红利,2010-11-05,5907.52,5907.52,5907.52,5907.52,0.0
1.H20955,中证红利,2010-11-08,6009.28,6009.28,6009.28,6009.28,0.0
1.H20955,中证红利,2010-11-09,5953.77,5953.77,5953.77,5953.77,0.0
1.H20955,中证红利,2010-11-10,5906.53,5906.53,5906.53,5906.53,0.0
1.H20955,中证红利,2010-11-11,5903.6,5903.6,5903.6,5903.6,0.0
1.H20955,中证红利,2010-11-12,5572.79,5572.79,5572.79,5572.79,0.0
1.H20955,中证红利,2010-11-15,5667.06,5667.06,5667.06,5667.06,0.0
1.H20955,中证红利,2010-11-16,5474.57,5474.57,5474.57,5474.57,0.0
1.H20955,中证红利,2010-11-17,5376.16,5376.16,5376.16,5376.16,0.0
1.H20955,中证红利,2010-11-18,5410.73,5410.73,5410.73,5410.73,0.0
1.H20955,中证红利,2010-11-19,5475.0,5475.0,5475.0,5475.0,0.0
1.H20955,中证红利,2010-11-22,5479.42,5479.42,5479.42,5479.42,0.0
1.H20955,中证红利,2010-11-23,5364.39,5364.39,5364.39,5364.39,0.0
1.H20955,中证红利,2010-11-24,5453.55,5453.55,5453.55,5453.55,0.0
1.H20955,中证红利,2010-11-25,5523.38,5523.38,5523.38,5523.38,0.0
1.H20955,中证红利,2010-11-26,5478.27,5478.27,5478.27,5478.27,0.0
1.H20955,中证红利,2010-11-29,5485.16,5485.16,5485.16,5485.16,0.0
1.H20955,中证红利,2010-11-30,5355.47,5355.47,5355.47,5355.47,0.0
1.H20955,中证红利,2010-12-01,5393.07,5393.07,5393.07,5393.07,0.0
1.H20955,中证红利,2010-12-02,5422.77,5422.77,5422.77,5422.77,0.0
1.H20955,中证红利,2010-12-03,5407.3,5407.3,5407.3,5407.3,0.0
1.H20955,中证红利,2010-12-06,5385.58,5385.58,5385.58,5385.58,0.0
1.H20955,中证红利,2010-12-07,5421.39,5421.39,5421.39,5421.39,0.0
1.H20955,中证红利,2010-12-08,5393.69,5393.69,5393.69,5393.69,0.0
1.H20955,中证红利,2010-12-09,5333.24,5333.24,5333.24,5333.24,0.0
1.H20955,中证红利,2010-12-10,5375.54,5375.54,5375.54,5375.54,0.0
1.H20955,中证红利,2010-12-13,5510.45,5510.45,5510.45,5510.45,0.0
1.H20955,中证红利,2010-12-14,5529.46,5529.46,5529.46,5529.46,0.0
1.H20955,中证红利,2010-12-15,5514.34,5514.34,5514.34,5514.34,0.0
1.H20955,中证红利,2010-12-16,5491.06,5491.06,5491.06,5491.06,0.0
1.H20955,中证红利,2010-12-17,5491.24,5491.24,5491.24,5491.24,0.0
1.H20955,中证红利,2010-12-20,5413.19,5413.19,5413.19,5413.19,0.0
1.H20955,中证红利,2010-12-21,5490.69,5490.69,5490.69,5490.69,0.0
1.H20955,中证红利,2010-12-22,5446.11,5446.11,5446.11,5446.11,0.0
1.H20955,中证红利,2010-12-23,5397.93,5397.93,5397.93,5397.93,0.0
1.H20955,中证红利,2010-12-24,5365.57,5365.57,5365.57,5365.57,0.0
1.H20955,中证红利,2010-12-27,5260.59,5260.59,5260.59,5260.59,0.0
1.H20955,中证红利,2010-12-28,5162.3,5162.3,5162.3,5162.3,0.0
1.H20955,中证红利,2010-12-29,5191.92,5191.92,5191.92,5191.92,0.0
1.H20955,中证红利,2010-12-30,5187.05,5187.05,5187.05,5187.05,0.0
1.H20955,中证红利,2010-12-31,5267.29,5267.29,5267.29,5267.29,0.0
1.H20955,中证红利,2011-01-04,5332.11,5332.11,5332.11,5332.11,0.0
1.H20955,中证红利,2011-01-05,5321.62,5321.62,5321.62,5321.62,0.0
1.H20955,中证红利,2011-01-06,5308.67,5308.67,5308.67,5308.67,0.0
1.H20955,中证红利,2011-01-07,5347.97,5347.97,5347.97,5347.97,0.0
1.H20955,中证红利,2011-01-10,5278.7,5278.7,5278.7,5278.7,0.0
1.H20955,中证红利,2011-01-11,5321.64,5321.64,5321.64,5321.64,0.0
1.H20955,中证红利,2011-01-12,5355.47,5355.47,5355.47,5355.47,0.0
1.H20955,中证红利,2011-01-13,5358.8,5358.8,5358.8,5358.8,0.0
