trade_id,strategy,symbol,name,entry_date,exit_date,entry_price,exit_price,side,is_open_trade,profit_pct,mfe_pct,mae_pct,profit_capture,giveback_pct,max_high,min_low,best_date,worst_date,bar_count,holding_calendar_days,had_profit_then_loss,deep_mae_profit
76,Sub-A,1.H00016,上证50,2014-11-14,2014-12-25,2147.3,2930.87,long,False,0.36490942113351643,0.40367903879290257,-0.0330554650025614,0.9039592995085486,0.038769617659386135,3014.12,2076.32,2014-12-22,2014-11-19,30,41,False,False
83,Sub-A,1.H00852,中证1000,2015-03-09,2015-04-08,7766.7,9857.31,long,False,0.2691760979566611,0.2886438255629804,0.0,0.9325544983740816,0.01946772760631932,10008.51,7766.7,2015-04-07,2015-03-09,22,30,False,False
95,Sub-A,0.399606,创业板,2015-09-29,2015-11-04,2163.359,2664.107,long,False,0.23146782387943943,0.23146782387943943,-0.0075734078347606815,1.0,0.0,2664.107,2146.975,2015-11-04,2015-09-30,22,36,False,False
45,Sub-A,0.399606,创业板,2013-04-26,2013-05-24,906.284,1096.303,long,False,0.20966827175587355,0.20966827175587355,0.0,1.0,0.0,1096.303,906.284,2013-05-24,2013-04-26,18,28,False,False
262,Sub-A,0.399606,创业板,2024-09-27,2024-10-09,2061.162,2492.643,long,False,0.2093387128231552,0.35263943348460747,0.0,0.5936338734286581,0.14330072066145227,2788.009,2061.162,2024-10-08,2024-09-27,4,12,False,False
163,Sub-A,0.399606,创业板,2019-02-18,2019-03-19,1480.812,1790.125,long,False,0.2088806681739479,0.254550206238199,-0.005350442865130756,0.820587306766842,0.045669538064251114,1857.753,1472.889,2019-03-12,2019-02-19,22,29,False,False
60,Sub-A,0.399606,创业板,2013-12-27,2014-02-11,1325.059,1563.442,long,False,0.1799036873075086,0.2001948592477769,0.0,0.8986428921476233,0.020291171940268304,1590.329,1325.059,2014-02-10,2013-12-27,27,46,False,False
190,Sub-A,0.399606,创业板,2020-06-17,2020-07-08,2400.124,2812.247,long,False,0.17170904503267326,0.17170904503267326,0.0,1.0,0.0,2812.247,2400.124,2020-07-08,2020-06-17,14,21,False,False
205,Sub-A,0.399606,创业板,2020-12-14,2021-01-28,2894.345,3356.386,long,False,0.15963577251502503,0.23165724887668881,0.0,0.6891032906982296,0.07202147636166378,3564.841,2894.345,2021-01-22,2020-12-14,33,45,False,False
281,Sub-A,1.H00905,中证500,2025-12-23,2026-01-30,9005.51,10389.74,long,False,0.15370922912750085,0.18545756986556006,0.0,0.8288107583795372,0.03174834073805921,10675.65,9005.51,2026-01-28,2025-12-23,27,38,False,False
273,Sub-A,0.399606,创业板,2025-06-18,2025-08-05,2270.955,2592.228,long,False,0.14147043864805786,0.17226453188196156,-0.021570220457913125,0.8212395035850775,0.030794093233903697,2662.16,2221.97,2025-07-29,2025-06-20,35,48,False,False
88,Sub-A,0.399606,创业板,2015-05-15,2015-05-21,3238.91,3632.805,long,False,0.12161344402900975,0.12161344402900975,0.0,1.0,0.0,3632.805,3238.91,2015-05-21,2015-05-15,5,6,False,False
276,Sub-A,0.399606,创业板,2025-08-20,2025-09-10,2886.361,3215.538,long,False,0.11404567897085638,0.13464947731763277,-0.004674051513306909,0.8469819656397711,0.020603798346776392,3275.008,2872.87,2025-09-05,2025-08-21,16,21,False,False
207,Sub-A,0.399606,创业板,2021-04-06,2021-05-20,3006.062,3340.515,long,False,0.1112595149401443,0.1112595149401443,-0.0392533487333262,1.0,0.0,3340.515,2888.064,2021-05-20,2021-04-12,30,44,False,False
