overheat_enabled,enter_threshold,exit_threshold,derisk_scale,cagr_last_1y,max_dd_last_1y,sharpe_last_1y,calmar_last_1y,trigger_count_last_1y,overlay_days_last_1y,avg_weight_last_1y,avg_turnover_last_1y,cagr_last_3y,max_dd_last_3y,sharpe_last_3y,calmar_last_3y,trigger_count_last_3y,overlay_days_last_3y,avg_weight_last_3y,avg_turnover_last_3y,cagr_last_5y,max_dd_last_5y,sharpe_last_5y,calmar_last_5y,trigger_count_last_5y,overlay_days_last_5y,avg_weight_last_5y,avg_turnover_last_5y,cagr_last_10y,max_dd_last_10y,sharpe_last_10y,calmar_last_10y,trigger_count_last_10y,overlay_days_last_10y,avg_weight_last_10y,avg_turnover_last_10y,cagr_full_common,max_dd_full_common,sharpe_full_common,calmar_full_common,trigger_count_full_common,overlay_days_full_common,avg_weight_full_common,avg_turnover_full_common,recent_weighted_sharpe,mean_recent_cagr,worst_recent_max_dd
True,0.28,0.24,0.0,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.4690090609305049,-0.11042852267079417,2.1169756661590546,4.247173190287975,2,11,0.5892443265382072,0.19439738883401278,0.3432706415048732,-0.1667834505756216,1.7285226026117837,2.058181674021849,2,11,0.6769453562535028,0.2266590944574325,0.3108389795967852,-0.19160178344553136,1.5654392473067622,1.6223177780866045,3,12,0.680389951399095,0.24646377264516656,0.285658732066294,-0.35391395766378686,1.3245991038280307,0.8071417526224429,8,49,0.6963690539301173,0.244937116330096,2.1164731317387764,0.527764089547371,-0.19160178344553136
True,0.28,0.26,0.0,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.4667964811172287,-0.11042852267079417,2.108755565164227,4.227136883002834,2,10,0.5910684624349081,0.19439115232009901,0.34205635787217803,-0.1667834505756216,1.7233592880022972,2.0509010737674216,2,10,0.6780398377915233,0.2266553525490842,0.3102476618404768,-0.19160178344553136,1.5629246549032834,1.6192315972292302,3,11,0.6809353890683721,0.24646190785558605,0.2852870065300792,-0.35391395766378686,1.3231700032096965,0.8060914251963404,8,48,0.696718941026816,0.24493592010576273,2.1114117474167444,0.5267595442468009,-0.19160178344553136
True,0.28,0.24,0.25,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.46635346277432776,-0.11042852267079417,2.1064082099127965,4.223125072175466,2,11,0.5915838201039406,0.19436936759540735,0.34181313742080666,-0.1667834505756216,1.7219480589910963,2.0494427728956506,2,11,0.6783490523929429,0.2266422817142692,0.30895483748652985,-0.19160178344553125,1.5572758857929063,1.6124841425307497,3,12,0.6811768284639496,0.2461380611023804,0.288924470129869,-0.35391395766378686,1.335293868808401,0.8163692442001483,8,49,0.6986821869627863,0.24486687945458305,2.109248927558267,0.5262647784597462,-0.19160178344553125
True,0.28,0.26,0.25,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.4646906615276276,-0.11042852267079417,2.1000796775762063,4.208067356954036,2,10,0.5929482932068519,0.19437146682085019,0.3408999845290428,-0.1667834505756216,1.7179847858696642,2.0439676919531933,2,10,0.6791677362546897,0.2266435412495349,0.30851034262050225,-0.19160178344553125,1.5553502303921702,1.610164253550416,3,11,0.6815848216569947,0.24613868879499637,0.2886439358246289,-0.35391395766378686,1.3342054364608074,0.8155765817488229,8,48,0.6989439062422351,0.24486728210654382,2.1053579473378488,0.5255096662086233,-0.19160178344553125
True,0.28,0.24,0.5,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.46335610604169863,-0.11042852267079417,2.092561989968507,4.195982114358628,2,11,0.5935934630363968,0.19430142685861815,0.34016679285175866,-0.1667834505756216,1.7134882066316504,2.039571622230726,2,11,0.6795548381524166,0.22660151727219566,0.3069423001922178,-0.19160178344553125,1.5478370939099797,1.601980392210053,3,12,0.6818008898325391,0.24578564933491878,0.2916799123215088,-0.35391395766378597,1.3412377480381796,0.8241548715594914,8,49,0.70054756548122,0.2449028362812137,2.1000259834695205,0.5246007188107489,-0.19160178344553125
True,0.28,0.26,0.5,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.462241620964015,-0.11042852267079417,2.0882282235374734,4.185889748267613,2,10,0.5945011048503441,0.19431928924453487,0.3395543007303623,-0.1667834505756216,1.7107801821923805,2.0358992427513325,2,10,0.680099423240785,0.22661223470374572,0.306644267184806,-0.19160178344553125,1.5465239449645525,1.600424910825421,3,11,0.6820722852019483,0.2457909903942991,0.29149112597665794,-0.35391395766378597,1.34050061667382,0.8236214471472499,8,48,0.7007216600537235,0.24490626246144503,2.0973643843231002,0.5240944662591259,-0.19160178344553125
True,0.4,0.36,0.0,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.4563625374447955,-0.11042852267079417,2.0555154824680018,4.132650934806836,1,2,0.5966899408946665,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.6911340219005624,2.0165083034126576,1,2,0.6814127248673785,0.2264966998006413,0.3025224806792599,-0.19160178344553125,1.525154784681665,1.5789126553994801,1,2,0.6825946478720907,0.24509656385207917,0.3046057080643245,-0.3539139576637864,1.3822429634344406,0.8606772959027966,4,8,0.7005973157303843,0.24520108028821824,2.075833394804216,0.5207857268097329,-0.19160178344553125
True,0.4,0.38,0.0,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.4563625374447955,-0.11042852267079417,2.0555154824680018,4.132650934806836,1,2,0.5966899408946665,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.6911340219005624,2.0165083034126576,1,2,0.6814127248673785,0.2264966998006413,0.3025224806792599,-0.19160178344553125,1.525154784681665,1.5789126553994801,1,2,0.6825946478720907,0.24509656385207917,0.3046057080643245,-0.3539139576637864,1.3822429634344406,0.8606772959027966,4,8,0.7005973157303843,0.24520108028821824,2.075833394804216,0.5207857268097329,-0.19160178344553125
True,0.4,0.36,0.25,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.4563625374447955,-0.11042852267079417,2.0555154824680018,4.132650934806836,1,2,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.6911340219005624,2.0165083034126576,1,2,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553136,1.5251547846816649,1.578912655399477,1,2,0.6825946478720907,0.24509656385207917,0.30281773201487683,-0.3539139576637861,1.3756163353530741,0.8556252881739973,4,8,0.7009262661358813,0.24497950191158774,2.075833394804216,0.5207857268097327,-0.19160178344553136
True,0.4,0.38,0.25,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.4563625374447955,-0.11042852267079417,2.0555154824680018,4.132650934806836,1,2,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.6911340219005624,2.0165083034126576,1,2,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553136,1.5251547846816649,1.578912655399477,1,2,0.6825946478720907,0.24509656385207917,0.30281773201487683,-0.3539139576637861,1.3756163353530741,0.8556252881739973,4,8,0.7009262661358813,0.24497950191158774,2.075833394804216,0.5207857268097327,-0.19160178344553136
